municipality_code,municipality,year,female_population_2022,all_female_records,violencia_domestica_lesao,lesao_corporal,violencia_sexual,estupro,estupro_vulneravel,homicidio_mulher,feminicidio,tentativa_feminicidio,selected_vaw_records,rate_all_female_records_per_100k_women,rate_violencia_domestica_lesao_per_100k_women,rate_lesao_corporal_per_100k_women,rate_violencia_sexual_per_100k_women,rate_estupro_per_100k_women,rate_estupro_vulneravel_per_100k_women,rate_homicidio_mulher_per_100k_women,rate_feminicidio_per_100k_women,rate_tentativa_feminicidio_per_100k_women,rate_selected_vaw_records_per_100k_women
1500107,Abaetetuba,2022,78891,1195,168,276,77,11,66,3,0,0,245,1514.7481968792383,212.95204776210215,349.84979275202494,97.60302189096348,13.943288841566213,83.65973304939727,3.8027151386089666,0.0,0.0,310.55506965306563
1500131,Abel Figueiredo,2022,3023,50,14,22,6,1,5,1,1,0,21,1653.9861065167051,463.11610982467744,727.7538868673503,198.47833278200463,33.079722130334105,165.39861065167054,33.079722130334105,33.079722130334105,0.0,694.6741647370162
1500206,Acará,2022,28472,243,63,84,29,8,21,1,0,0,92,853.4700758640066,221.2700196684462,295.02669289126163,101.85445349817364,28.097780275358247,73.75667322281541,3.512222534419781,0.0,0.0,323.12447316661985
1500305,Afuá,2022,18057,161,25,39,14,2,12,0,0,0,39,891.6209780140665,138.4504624245445,215.98272138228944,77.53225895774492,11.076036993963559,66.45622196378136,0.0,0.0,0.0,215.98272138228944
1500347,Água Azul do Norte,2022,8384,50,9,15,10,3,7,0,0,0,19,596.3740458015268,107.34732824427482,178.91221374045801,119.27480916030535,35.782442748091604,83.49236641221374,0.0,0.0,0.0,226.62213740458014
1500404,Alenquer,2022,33688,276,24,35,18,3,15,0,0,0,42,819.2828306815484,71.24198527665638,103.89456186179055,53.431488957492284,8.905248159582047,44.52624079791023,0.0,0.0,0.0,124.67347423414867
1500503,Almeirim,2022,16633,214,45,66,15,4,11,1,1,0,61,1286.5989298382733,270.5465039379547,396.80153910900015,90.18216797931822,24.048578127818192,66.13358985150003,6.012144531954548,6.012144531954548,0.0,366.74081644922745
1500602,Altamira,2022,63337,992,190,260,72,15,57,13,1,0,263,1566.2251132829153,299.9826325844293,410.502549852377,113.677629189889,23.68283941456021,89.9947897753288,20.52512749261885,1.5788559609706805,0.0,415.239117735289
1500701,Anajás,2022,13503,131,16,42,18,6,12,3,1,0,35,970.1547804191661,118.49218692142487,311.04199066874025,133.30371028660298,44.434570095534326,88.86914019106865,22.217285047767163,7.405761682589055,0.0,259.2016588906169
1500800,Ananindeua,2022,251474,6903,643,906,201,50,151,4,1,0,845,2745.015389264894,255.69243738915358,360.2758138018245,79.92874014808689,19.88277118111614,60.04596896697074,1.590621694489291,0.39765542362232276,0.0,336.0188329608627
