municipality,year,all_female_records,lesao_corporal,violencia_domestica_lesao,estupro,estupro_vulneravel,violencia_sexual,homicidio_mulher,feminicidio,tentativa_feminicidio,selected_vaw_records
SAO CAETANO DE ODIVELAS,2024,93,27,17,1,16,17,0,0,0,34
SAO DOMINGOS DO ARAGUAIA,2024,77,36,28,1,8,9,0,0,0,37
SAO DOMINGOS DO CAPIM,2024,120,27,15,2,23,25,1,1,0,41
SAO FELIX DO XINGU,2024,364,138,91,3,50,53,2,2,0,146
SAO FRANCISCO DO PARA,2024,89,20,9,4,6,10,0,0,0,19
SAO GERALDO DO ARAGUAIA,2024,105,43,32,8,15,23,2,1,0,56
SAO JOAO DA PONTA,2024,28,12,6,1,3,4,0,0,0,10
SAO JOAO DE PIRABAS,2024,127,37,26,2,17,19,0,0,0,45
SAO JOAO DO ARAGUAIA,2024,49,19,14,0,13,13,1,0,0,27
SAO MIGUEL DO GUAMA,2024,366,89,59,5,24,29,0,0,0,88
SAO SEBASTIAO DA BOA VISTA,2024,154,48,32,2,20,22,1,0,0,54
SAPUCAIA,2024,48,23,12,0,2,2,0,0,0,14
SENADOR JOSE PORFIRIO,2024,96,37,20,2,15,17,0,0,0,37
SOURE,2024,331,127,84,8,14,22,0,0,0,106
TAILANDIA,2024,516,149,104,16,33,49,4,0,0,153
TERRA ALTA,2024,91,36,27,2,6,8,1,0,0,35
TERRA SANTA,2024,172,68,34,0,16,16,0,0,0,50
TOME-ACU,2024,637,196,136,12,66,78,4,1,0,215
TRACUATEUA,2024,114,35,28,3,8,11,0,0,0,39
TRAIRAO,2024,87,29,22,1,11,12,2,0,0,34
TUCUMA,2024,178,45,31,2,25,27,2,0,0,58
TUCURUI,2024,755,200,132,18,48,66,1,0,0,198
ULIANOPOLIS,2024,118,53,38,3,9,12,3,0,0,50
URUARA,2024,205,70,54,5,24,29,7,3,0,86
VIGIA,2024,270,68,42,6,30,36,1,1,0,79
VISEU,2024,212,52,35,3,24,27,0,1,0,63
VITORIA DO XINGU,2024,181,44,31,5,16,21,1,1,0,53
XINGUARA,2024,269,108,79,3,23,26,3,1,0,106
ABAETETUBA,2025,962,322,195,20,118,138,0,0,0,333
ABEL FIGUEIREDO,2025,42,16,11,2,5,7,0,0,0,18
ACARA,2025,186,72,40,2,33,35,1,1,0,76
AFUA,2025,151,56,42,2,17,19,0,0,0,61
AGUA AZUL DO NORTE,2025,69,26,16,0,14,14,1,1,0,31
ALENQUER,2025,253,71,46,5,32,37,0,2,0,85
ALMEIRIM,2025,150,63,37,2,19,21,0,0,0,58
ALTAMIRA,2025,813,264,196,11,62,73,4,2,0,271
ANAJAS,2025,157,45,24,3,21,24,1,0,0,48
ANANINDEUA,2025,5157,796,472,36,166,202,4,2,0,676
ANAPU,2025,156,50,42,2,23,25,2,1,0,68
AUGUSTO CORREA,2025,168,52,36,4,30,34,0,0,0,70
AURORA DO PARA,2025,60,15,8,1,14,15,2,0,0,23
AVEIRO,2025,36,14,10,0,9,9,0,0,0,19
BAGRE,2025,194,40,21,1,24,25,0,1,0,47
BAIAO,2025,163,61,39,7,23,30,1,1,0,70
BANNACH,2025,6,4,2,0,1,1,0,0,0,3
BARCARENA,2025,783,225,165,12,69,81,2,0,0,246
BELEM,2025,19889,2482,1454,122,459,581,7,5,1,2041
BELTERRA,2025,65,18,14,2,9,11,0,0,0,25
BENEVIDES,2025,477,92,65,6,51,57,2,1,0,123
BOM JESUS DO TOCANTINS,2025,82,22,18,1,6,7,0,0,0,25
BONITO,2025,51,15,10,1,7,8,0,0,0,18
BRAGANCA,2025,739,152,100,8,44,52,0,0,0,152
BRASIL NOVO,2025,108,44,30,0,34,34,1,0,0,64
BREJO GRANDE DO ARAGUAIA,2025,40,18,14,0,6,6,2,1,0,21
BREU BRANCO,2025,217,87,69,4,16,20,0,0,0,89
BREVES,2025,714,177,117,16,72,88,0,0,0,205
BUJARU,2025,90,31,20,3,12,15,1,0,0,35
CACHOEIRA DO ARARI,2025,131,60,27,1,19,20,0,1,0,48
CACHOEIRA DO PIRIA,2025,53,23,20,2,18,20,1,0,0,40
CAMETA,2025,695,218,130,10,46,56,0,0,0,186
CANAA DOS CARAJAS,2025,659,216,170,11,68,79,3,0,0,249
CAPANEMA,2025,371,100,68,3,19,22,4,0,0,90
CAPITAO POCO,2025,166,52,38,8,17,25,1,1,0,64
CASTANHAL,2025,1586,383,273,17,85,102,1,1,0,376
CHAVES,2025,47,17,9,0,14,14,0,1,0,24
COLARES,2025,46,13,7,2,11,13,0,0,0,20
CONCEICAO DO ARAGUAIA,2025,263,117,79,7,15,22,1,0,0,101
CONCORDIA DO PARA,2025,169,49,37,3,21,24,0,0,0,61
CUMARU DO NORTE,2025,37,22,16,0,7,7,0,0,0,23
CURIONOPOLIS,2025,109,45,26,0,13,13,1,0,0,39
CURRALINHO,2025,264,69,38,6,22,28,1,0,0,66
CURUA,2025,62,26,12,0,8,8,0,0,0,20
CURUCA,2025,173,42,27,2,16,18,0,0,0,45
DOM ELISEU,2025,182,47,32,5,27,32,2,0,0,64
ELDORADO DOS CARAJAS,2025,143,70,49,2,23,25,0,0,0,74
FARO,2025,63,21,12,3,17,20,0,0,0,32
FLORESTA DO ARAGUAIA,2025,73,26,18,1,20,21,0,1,0,40
GARRAFAO DO NORTE,2025,99,42,30,1,23,24,2,1,0,55
GOIANESIA DO PARA,2025,96,40,24,3,18,21,1,1,0,46
GURUPA,2025,118,44,25,3,4,7,0,2,0,34
IGARAPE-ACU,2025,201,79,48,3,13,16,0,1,0,65
IGARAPE-MIRI,2025,238,72,51,3,31,34,0,0,0,85
INHANGAPI,2025,58,22,10,0,10,10,0,0,0,20
IPIXUNA DO PARA,2025,189,74,52,5,23,28,0,0,0,80
IRITUIA,2025,113,35,22,4,10,14,0,0,0,36
ITAITUBA,2025,900,316,241,20,81,101,1,6,0,348
ITUPIRANGA,2025,169,58,40,1,21,22,2,0,0,62
JACAREACANGA,2025,84,38,30,3,11,14,1,0,0,44
JACUNDA,2025,173,74,53,3,20,23,1,0,0,76
JURUTI,2025,341,97,66,6,30,36,0,0,0,102
LIMOEIRO DO AJURU,2025,111,37,22,5,16,21,0,0,0,43
MAE DO RIO,2025,135,37,25,1,14,15,1,0,0,40
MAGALHAES BARATA,2025,32,15,11,0,4,4,0,0,0,15
MARABA,2025,1845,545,384,21,108,129,6,0,0,513
MARACANA,2025,113,41,24,5,14,19,0,0,0,43
MARAPANIM,2025,186,46,23,3,21,24,0,0,0,47
MARITUBA,2025,1030,218,151,12,47,59,0,0,0,210
MEDICILANDIA,2025,93,38,25,3,11,14,3,0,0,39
MELGACO,2025,114,31,19,1,9,10,0,0,0,29
MOCAJUBA,2025,167,81,44,3,14,17,0,0,0,61
MOJU,2025,331,105,69,10,62,72,0,0,0,141
MOJUI DOS CAMPOS,2025,46,23,19,0,8,8,1,0,0,27
MONTE ALEGRE,2025,302,114,81,10,43,53,0,1,0,135
MUANA,2025,269,98,64,3,28,31,0,0,0,95
NOVA ESPERANCA DO PIRIA,2025,80,32,32,2,19,21,1,0,0,53
NOVA IPIXUNA,2025,45,15,12,2,6,8,0,0,0,20
NOVA TIMBOTEUA,2025,41,16,13,1,4,5,1,0,0,18
NOVO PROGRESSO,2025,238,93,66,7,23,30,5,3,2,101
NOVO REPARTIMENTO,2025,203,80,63,1,26,27,4,2,0,92
OBIDOS,2025,189,49,20,4,18,22,2,1,0,43
OEIRAS DO PARA,2025,318,108,73,8,37,45,0,0,0,118
ORIXIMINA,2025,425,90,56,7,31,38,0,0,0,94
OUREM,2025,70,27,19,2,12,14,0,0,0,33
OURILANDIA DO NORTE,2025,146,39,21,1,9,10,0,0,0,31
PACAJA,2025,130,53,43,1,24,25,2,1,0,69
PALESTINA DO PARA,2025,34,16,10,0,4,4,0,0,0,14
PARAGOMINAS,2025,653,188,129,10,75,85,3,2,0,216
PARAUAPEBAS,2025,1558,476,342,14,95,109,2,1,0,452
PAU D ARCO,2025,23,10,7,0,3,3,0,0,0,10
PEIXE-BOI,2025,31,12,8,0,5,5,2,0,0,13
PICARRA,2025,29,17,16,2,1,3,0,1,0,20
PLACAS,2025,78,29,22,1,9,10,1,0,0,32
PONTA DE PEDRAS,2025,176,55,35,4,15,19,0,0,0,54
PORTEL,2025,335,87,38,6,34,40,0,0,0,78
PORTO DE MOZ,2025,172,56,36,1,10,11,0,1,0,48
PRAINHA,2025,158,61,33,2,21,23,0,0,0,56
PRIMAVERA,2025,48,23,16,1,4,5,0,0,0,21
QUATIPURU,2025,57,12,8,1,4,5,0,1,0,14
REDENCAO,2025,600,229,170,2,65,67,2,0,0,237
RIO MARIA,2025,100,39,31,0,11,11,0,1,0,43
RONDON DO PARA,2025,201,82,65,3,24,27,0,0,0,92
RUROPOLIS,2025,132,43,35,4,31,35,0,1,0,71
SALINOPOLIS,2025,435,121,83,4,39,43,0,0,0,126
SALVATERRA,2025,200,59,37,3,28,31,0,0,0,68
SANTA BARBARA DO PARA,2025,137,31,23,2,19,21,0,0,0,44
SANTA CRUZ DO ARARI,2025,36,21,8,0,5,5,0,0,0,13
SANTA IZABEL DO PARA,2025,461,105,77,6,30,36,0,0,0,113
SANTA LUZIA DO PARA,2025,43,15,12,2,8,10,0,0,0,22
SANTA MARIA DAS BARREIRAS,2025,43,25,19,2,4,6,0,0,0,25
SANTA MARIA DO PARA,2025,106,45,34,2,7,9,1,0,0,43
SANTANA DO ARAGUAIA,2025,198,102,75,1,25,26,0,1,0,102
SANTAREM,2025,1823,508,331,41,142,183,2,2,0,516
SANTAREM NOVO,2025,27,10,6,0,2,2,0,0,0,8
SANTO ANTONIO DO TAUA,2025,191,76,57,4,12,16,0,0,0,73
SAO CAETANO DE ODIVELAS,2025,102,28,12,0,18,18,1,0,0,30
SAO DOMINGOS DO ARAGUAIA,2025,77,36,28,0,10,10,0,0,0,38
SAO DOMINGOS DO CAPIM,2025,108,41,22,1,19,20,0,0,0,42
SAO FELIX DO XINGU,2025,333,107,79,11,91,102,0,0,0,181
SAO FRANCISCO DO PARA,2025,50,10,9,1,6,7,0,0,0,16
SAO GERALDO DO ARAGUAIA,2025,97,56,39,2,6,8,2,0,0,47
SAO JOAO DA PONTA,2025,19,6,3,0,1,1,0,0,0,4
SAO JOAO DE PIRABAS,2025,87,17,10,3,10,13,1,0,0,23
SAO JOAO DO ARAGUAIA,2025,63,27,18,2,12,14,0,1,0,33
SAO MIGUEL DO GUAMA,2025,329,99,66,3,36,39,1,0,0,105
SAO SEBASTIAO DA BOA VISTA,2025,162,50,27,1,25,26,0,0,0,53
SAPUCAIA,2025,46,25,17,1,5,6,0,0,0,23
SENADOR JOSE PORFIRIO,2025,102,35,24,2,23,25,2,2,0,51
SOURE,2025,310,136,84,3,20,23,0,0,0,107
TAILANDIA,2025,463,118,78,14,64,78,0,3,0,159
TERRA ALTA,2025,40,12,9,2,3,5,0,0,0,14
TERRA SANTA,2025,130,53,33,3,10,13,0,0,0,46
TOME-ACU,2025,499,155,107,11,73,84,2,0,0,191
TRACUATEUA,2025,89,26,21,1,9,10,0,0,0,31
TRAIRAO,2025,65,26,21,0,12,12,1,0,0,33
TUCUMA,2025,144,39,34,1,22,23,3,0,0,57
TUCURUI,2025,681,226,145,11,62,73,2,1,0,219
ULIANOPOLIS,2025,135,61,53,3,22,25,0,0,0,78
URUARA,2025,181,73,57,1,34,35,1,1,0,93
VIGIA,2025,253,76,51,1,28,29,0,0,0,80
VISEU,2025,193,55,39,5,34,39,0,0,0,78
VITORIA DO XINGU,2025,110,45,33,4,22,26,0,0,0,59
XINGUARA,2025,309,172,136,2,33,35,0,2,0,173
