municipality,year,all_female_records,lesao_corporal,violencia_domestica_lesao,estupro,estupro_vulneravel,violencia_sexual,homicidio_mulher,feminicidio,tentativa_feminicidio,selected_vaw_records
PORTEL,2022,318,72,42,10,32,42,0,0,0,84
PORTO DE MOZ,2022,239,65,39,5,22,27,1,0,0,66
PRAINHA,2022,120,27,22,3,13,16,0,0,0,38
PRIMAVERA,2022,57,18,12,2,6,8,0,0,0,20
QUATIPURU,2022,65,25,20,1,4,5,0,0,0,25
REDENCAO,2022,914,176,141,8,33,41,5,0,0,182
RIO MARIA,2022,94,47,40,0,6,6,0,0,0,46
RONDON DO PARA,2022,246,71,57,2,25,27,1,1,0,85
RUROPOLIS,2022,92,23,19,2,13,15,0,0,0,34
SALINOPOLIS,2022,537,107,76,6,23,29,2,0,0,105
SALVATERRA,2022,255,83,43,2,12,14,0,0,0,57
SANTA BARBARA DO PARA,2022,152,32,20,1,14,15,1,0,0,35
SANTA CRUZ DO ARARI,2022,55,42,21,0,1,1,0,0,0,22
SANTA IZABEL DO PARA,2022,533,81,68,11,22,33,3,2,0,103
SANTA LUZIA DO PARA,2022,57,24,19,0,5,5,0,0,0,24
SANTA MARIA DAS BARREIRAS,2022,36,15,12,1,4,5,2,1,0,18
SANTA MARIA DO PARA,2022,117,36,27,1,11,12,0,0,0,39
SANTANA DO ARAGUAIA,2022,260,114,87,6,18,24,4,2,0,113
SANTAREM,2022,2443,512,361,30,103,133,4,3,0,497
SANTAREM NOVO,2022,25,9,4,0,2,2,0,0,0,6
SANTO ANTONIO DO TAUA,2022,169,33,27,7,22,29,1,0,0,56
SAO CAETANO DE ODIVELAS,2022,108,45,24,4,9,13,0,0,0,37
SAO DOMINGOS DO ARAGUAIA,2022,106,40,35,2,5,7,1,0,0,42
SAO DOMINGOS DO CAPIM,2022,93,28,23,3,9,12,0,0,0,35
SAO FELIX DO XINGU,2022,321,94,82,1,43,44,4,0,0,126
SAO FRANCISCO DO PARA,2022,59,16,10,1,2,3,0,0,0,13
SAO GERALDO DO ARAGUAIA,2022,112,46,29,1,15,16,2,1,0,46
SAO JOAO DA PONTA,2022,18,4,1,0,5,5,0,0,0,6
SAO JOAO DE PIRABAS,2022,131,32,20,1,8,9,0,0,0,29
SAO JOAO DO ARAGUAIA,2022,44,12,9,2,7,9,0,0,0,18
SAO MIGUEL DO GUAMA,2022,449,120,91,6,20,26,0,0,0,117
SAO SEBASTIAO DA BOA VISTA,2022,123,24,16,3,9,12,0,0,0,28
SAPUCAIA,2022,54,17,6,1,3,4,1,0,0,10
SENADOR JOSE PORFIRIO,2022,84,32,22,2,13,15,0,0,0,37
SOURE,2022,353,114,78,5,28,33,1,0,0,111
TAILANDIA,2022,515,122,91,9,43,52,5,3,0,146
TERRA ALTA,2022,51,17,13,0,1,1,0,0,0,14
TERRA SANTA,2022,115,32,15,4,10,14,1,0,0,29
