UF,Município,Nome do Serviço,Categoria Padronizada,Telefone,Endereço do Serviço,Situação da Transcrição,Observações
PA,Itaituba,Unidade de Saúde da Família Jardim das Araras,Serviço de Saúde,N/I,"Rua Antônio Gomes de Pádua, s/n, Jardim das Araras, Terceira Rua",Completo,
PA,Itaituba,Unidade de Saúde da Família Moraes de Almeida,Serviço de Saúde,N/I,"Comunidade Moraes de Almeida, s/n, Zona Rural, Rodovia Transgarimpeira",Completo,
PA,Itaituba,Unidade de Saúde da Família Piracana,Serviço de Saúde,N/I,"Rua Nicolau Varjão, s/n, Piracana, 30ª Rua",Completo,
PA,Itaituba,Unidade de Saúde da Família São Tomé,Serviço de Saúde,N/I,"Av. Carleto Bermegu, 14ª Rua, s/n, São Tomé",Completo,
PA,Itaituba,Unidade de Saúde da Família da Floresta,Serviço de Saúde,N/I,"Décima Rua, s/n, Floresta",Completo,
PA,Itaituba,Unidade de Saúde da Família de Barreiras,Serviço de Saúde,N/I,"Rua Gilberto Lameira, s/n, Zona Rural, Vila de Barreiras",Completo,
PA,Itaituba,Unidade de Saúde da Família de Miritituba,Serviço de Saúde,N/I,"Rua Principal, s/n, Miritituba, Vila do INCRA",Completo,
PA,Juruti,Hospital Municipal de Juruti Francisco Rodrigues Barros,Serviço de Saúde,(93) 99191-6665,"Tv. Dário Rodrigues de Souza, s/n, Bom Pastor",Completo,
PA,Marabá,3ª Vara Criminal,Juizado/Vara especializada,(94) 3312-2016,"Rodovia Transamazônica, s/n, Bairro Amapá",Completo,
PA,Marabá,Casa Abrigo de Mulheres Vítimas de Violência Doméstica e Familiar,Casa Abrigo,SIGILOSO,SIGILOSO,Sigiloso,
PA,Marabá,Delegacia Especializada de Atendimento à Mulher (DEAM),Delegacia especializada,(91) 98562-7597,"Av. Espírito Santo, nº 285, Bairro Amapá, Marabá/PA",Completo,
PA,Marabá,Sala Lilás Marituba,Sala Lilás,N/I,"Rua Claudio Barbosa da Silva, s/n, ao lado da Seccional de Marituba, Bairro Centro, Marituba/PA",Possível inconsistência,"O nome/endereço aponta Marituba, embora a lista simplificada mostre Marabá."
PA,Moju,CTA SAE Centro de Testagem e Aconselhamento de Moju,Serviço de Saúde,(91) 3756-1331,"Rua 31 de Março, 140, Centro",Completo,
PA,Nova Ipixuna,Hospital Municipal de Nova Ipixuna,Serviço de Saúde,N/I,"Rua Cachoeira da Fumaça, s/n, Nova Jerusalém",Completo,
PA,Ourém,Hospital Municipal Luiz Carlos de Sousa,Serviço de Saúde,(91) 3467-1121,"Rua Luiz de Moura, 365, Centro",Completo,
PA,Pacajá,Unidade Mista de Pacajá,Serviço de Saúde,(91) 3798-1499,"Av. Marechal Castelo Branco, s/n, Centro, próximo à delegacia",Completo,
PA,Paragominas,Delegacia da Mulher,Delegacia especializada,(93) 99131-2886,"Av. Sérgio Henn, 70, Armazém 9 da CDP, Interventória",Completo,
PA,Parauapebas,Casa Abrigo para Mulheres,Casa Abrigo,SIGILOSO,SIGILOSO,Sigiloso,
PA,Parauapebas,Centro de Referência para Mulheres (CRM),Centro de Referência,(94) 3346-5982,"Rua Rio Dourado, nº 160, Bairro Beira Rio",Completo,
PA,Parauapebas,Defensoria Pública do Estado do Pará,Defensoria/Núcleo de defesa,(91) 3201-2700,"Rua Padre Prudêncio, nº 154, Belém",Possível inconsistência,Endereço exibido é em Belém; conferir se o registro é da unidade de Parauapebas.
PA,Parauapebas,Delegacia Especializada de Atendimento à Mulher (DEAM),Delegacia especializada,(91) 98566-2309,"Avenida J, nº 24, Bairro Jardim Canadá, prédio do PARAPAZ, Parauapebas/PA",Completo,
PA,Parauapebas,Hospital Geral de Parauapebas Manoel Evaldo Benevides Alves,Serviço de Saúde,(94) 3346-8533,"Rua A, QD 07, LT Especial 433, Cidade Nova",Completo,
