municipality_code,municipality,seat_query,seat_latitude,seat_longitude,seat_geocoding_confidence,seat_geocoding_note,seat_display_name
1506005,Prainha,"Prainha, Pará, Brasil",-1.8072874,-53.4797942,high,Municipality and Pará matched,"Prainha, Pará, Região Norte, 68130-000, Brasil"
1506104,Primavera,"Primavera, Pará, Brasil",-0.9406522,-47.116728,high,Municipality and Pará matched,"Primavera, Pará, Região Norte, 68707-000, Brasil"
1506112,Quatipuru,"Quatipuru, Pará, Brasil",-0.8948725,-47.0049317,high,Municipality and Pará matched,"Quatipuru, Pará, Região Norte, 68709-000, Brasil"
1506138,Redenção,"Redenção, Pará, Brasil",-8.0299327,-50.0309543,high,Municipality and Pará matched,"Redenção, Pará, Região Norte, Brasil"
1506161,Rio Maria,"Rio Maria, Pará, Brasil",-7.3137312,-50.0465372,high,Municipality and Pará matched,"Rio Maria, Pará, Região Norte, Brasil"
1506187,Rondon do Pará,"Rondon do Pará, Pará, Brasil",-4.7804416,-48.06983,high,Municipality and Pará matched,"Rondon do Pará, Pará, Região Norte, Brasil"
1506195,Rurópolis,"Rurópolis, Pará, Brasil",-4.1014311,-54.9086853,high,Municipality and Pará matched,"Rurópolis, Pará, Região Norte, 68165-000, Brasil"
1506203,Salinópolis,"Salinópolis, Pará, Brasil",-0.6259282,-47.3442819,high,Municipality and Pará matched,"Salinópolis, Pará, Região Norte, 68721-000, Brasil"
1506302,Salvaterra,"Salvaterra, Pará, Brasil",-0.758444,-48.513921,high,Municipality and Pará matched,"Salvaterra, Pará, Região Norte, 68860-000, Brasil"
1506351,Santa Bárbara do Pará,"Santa Bárbara do Pará, Pará, Brasil",-1.226144,-48.295101,high,Municipality and Pará matched,"Santa Bárbara do Pará, Pará, Região Norte, Brasil"
1506401,Santa Cruz do Arari,"Santa Cruz do Arari, Pará, Brasil",-0.6637491,-49.1729321,high,Municipality and Pará matched,"Santa Cruz do Arari, Pará, Região Norte, Brasil"
1506500,Santa Izabel do Pará,"Santa Izabel do Pará, Pará, Brasil",-1.2968557,-48.1605533,high,Municipality and Pará matched,"Santa Izabel do Pará, Pará, Região Norte, 68790-000, Brasil"
1506559,Santa Luzia do Pará,"Santa Luzia do Pará, Pará, Brasil",-1.5220049,-46.9020697,high,Municipality and Pará matched,"Santa Luzia do Pará, Pará, Região Norte, Brasil"
1506583,Santa Maria das Barreiras,"Santa Maria das Barreiras, Pará, Brasil",-8.8710157,-49.7171263,high,Municipality and Pará matched,"Santa Maria das Barreiras, Pará, Região Norte, 68567-000, Brasil"
1506609,Santa Maria do Pará,"Santa Maria do Pará, Pará, Brasil",-1.3455478,-47.5782981,high,Municipality and Pará matched,"Santa Maria do Pará, Pará, Região Norte, Brasil"
1506708,Santana do Araguaia,"Santana do Araguaia, Pará, Brasil",-9.3348334,-50.3427734,high,Municipality and Pará matched,"Santana do Araguaia, Pará, Região Norte, 68560-000, Brasil"
1506807,Santarém,"Santarém, Pará, Brasil",-2.438489,-54.699611,high,Municipality and Pará matched,"Santarém, Pará, Região Norte, Brasil"
1506906,Santarém Novo,"Santarém Novo, Pará, Brasil",-0.9283904,-47.3999958,high,Municipality and Pará matched,"Santarém Novo, Pará, Região Norte, Brasil"
1507003,Santo Antônio do Tauá,"Santo Antônio do Tauá, Pará, Brasil",-1.1522,-48.131446,high,Municipality and Pará matched,"Santo Antônio do Tauá, Pará, Região Norte, 68786-000, Brasil"
1507102,São Caetano de Odivelas,"São Caetano de Odivelas, Pará, Brasil",-0.747293,-48.024622,high,Municipality and Pará matched,"São Caetano de Odivelas, Pará, Região Norte, Brasil"
1507151,São Domingos do Araguaia,"São Domingos do Araguaia, Pará, Brasil",-5.5412778,-48.7300015,high,Municipality and Pará matched,"São Domingos do Araguaia, Pará, Região Norte, Brasil"
