service_id,UF,Município,Nome do Serviço,Categoria Padronizada,Telefone,Endereço do Serviço,Situação da Transcrição,Observações,municipality_raw,municipality_key,municipality_code,municipality,transcription_status_key,protection_network_record_validated,protection_network_public_address,protection_network_public_phone,protection_network_confidential_address,category_key,protection_network_specialized_police,protection_network_specialized_judiciary,protection_network_specialized_prosecution,protection_network_specialized_defense,protection_network_shelter,protection_network_reference_center,protection_network_health_service,protection_network_maria_da_penha_patrol,protection_network_women_policy_body,protection_network_record_transcribed,validated_category_key,geocoding_query,latitude,longitude,geocoding_display_name,geocoding_importance,geocoding_confidence,geocoding_note,geocoding_source
L180-PA-002,PA,Abaetetuba,Delegacia Especializada de Atendimento à Mulher (DEAM),Delegacia especializada,(91) 99899-6332,"Rua Sete de Setembro, s/n, Centro",Completo,,Abaetetuba,abaetetuba,1500107,Abaetetuba,completo,1,1,1,0,delegacia especializada,1,0,0,0,0,0,0,0,0,1,delegacia especializada,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-003,PA,Altamira,Delegacia Especializada de Atendimento à Mulher (DEAM),Delegacia especializada,(91) 98561-1908,"Rua Curitiba, nº 2973, Bairro Jardim Uirapuru, próximo à UPA, Altamira/PA",Completo,,Altamira,altamira,1500602,Altamira,completo,1,1,1,0,delegacia especializada,1,0,0,0,0,0,0,0,0,1,delegacia especializada,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-005,PA,Altamira,UPA 24 de Altamira,Serviço de Saúde,N/I,"Rua Irapuru, 458, Jardim Uirapuru",Completo,,Altamira,altamira,1500602,Altamira,completo,1,1,0,0,servico de saude,0,0,0,0,0,0,1,0,0,1,servico de saude,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-006,PA,Altamira,Vara de Juizado de Violência Doméstica e Familiar contra a Mulher,Juizado/Vara especializada,(93) 3515-4014,"Avenida Brigadeiro Eduardo Gomes, nº 1651, Bairro São Sebastião",Completo,,Altamira,altamira,1500602,Altamira,completo,1,1,1,0,juizado vara especializada,0,1,0,0,0,0,0,0,0,1,juizado vara especializada,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-008,PA,Ananindeua,Centro de Referência de Atendimento à Mulher em Situação de Violência (CRAM),Centro de Referência,(91) 9814-17495,"Conjunto Cidade Nova 08, Estrada da Providência, s/n, entre SN 30 e 33, ao lado do Juizado Especial de Ananindeua, Bairro Coqueiro",Completo,,Ananindeua,ananindeua,1500800,Ananindeua,completo,1,1,1,0,centro de referencia,0,0,0,0,0,1,0,0,0,1,centro de referencia,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-009,PA,Ananindeua,Delegacia Especializada de Atendimento à Mulher (DEAM),Delegacia especializada,(91) 98435-2596,"Av. Claudio Sanders, nº 28, dentro da Casa da Mulher Brasileira, ao lado do Parque Cultural Vila Maguari, Ananindeua/PA",Completo,,Ananindeua,ananindeua,1500800,Ananindeua,completo,1,1,1,0,delegacia especializada,1,0,0,0,0,0,0,0,0,1,delegacia especializada,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-010,PA,Aurora do Pará,Hospital Municipal de Aurora do Pará,Serviço de Saúde,N/I,"Rua Benedito Almeida, 621, Aparecida, Hospital",Completo,,Aurora do Pará,aurora do para,1500958,Aurora do Pará,completo,1,1,0,0,servico de saude,0,0,0,0,0,0,1,0,0,1,servico de saude,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-011,PA,Aurora do Pará,USF Almerinda Torres Barbosa,Serviço de Saúde,(91) 3802-1134,"Comunidade Vila Fátima, Rod. BR-010, km 75, s/n, Zona Rural",Completo,,Aurora do Pará,aurora do para,1500958,Aurora do Pará,completo,1,1,1,0,servico de saude,0,0,0,0,0,0,1,0,0,1,servico de saude,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-012,PA,Aurora do Pará,USF Bernardo de Oliveira Pantoja,Serviço de Saúde,N/I,"Vila de Santana do Capim, s/n, Zona Rural",Completo,,Aurora do Pará,aurora do para,1500958,Aurora do Pará,completo,1,1,0,0,servico de saude,0,0,0,0,0,0,1,0,0,1,servico de saude,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-013,PA,Aurora do Pará,USF Ernane Fernandes Gusmão,Serviço de Saúde,(91) 3802-1134,"Rua da Mangueira, s/n, Manelândia",Completo,,Aurora do Pará,aurora do para,1500958,Aurora do Pará,completo,1,1,1,0,servico de saude,0,0,0,0,0,0,1,0,0,1,servico de saude,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-014,PA,Aurora do Pará,USF Luiz Vidal de Carvalho,Serviço de Saúde,(91) 3802-1134,"Rua São Pedro, s/n, Aparecida, PSF",Completo,,Aurora do Pará,aurora do para,1500958,Aurora do Pará,completo,1,1,1,0,servico de saude,0,0,0,0,0,0,1,0,0,1,servico de saude,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-015,PA,Aurora do Pará,USF Osvaldo Boareto,Serviço de Saúde,(91) 3802-1134,"Rua Estrela de Ouro, 56, Centro, USF",Completo,,Aurora do Pará,aurora do para,1500958,Aurora do Pará,completo,1,1,1,0,servico de saude,0,0,0,0,0,0,1,0,0,1,servico de saude,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-016,PA,Aurora do Pará,USF Pedro Alves Ferreira,Serviço de Saúde,(91) 3802-1134,"Vila do Repartimento, s/n, Zona Rural, ESF",Completo,,Aurora do Pará,aurora do para,1500958,Aurora do Pará,completo,1,1,1,0,servico de saude,0,0,0,0,0,0,1,0,0,1,servico de saude,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-017,PA,Baião,Hospital Municipal São Joaquim,Serviço de Saúde,(91) 3795-1449,"Rua Doutor Bena Santana, s/n, Novo São Francisco",Completo,,Baião,baiao,1501204,Baião,completo,1,1,1,0,servico de saude,0,0,0,0,0,0,1,0,0,1,servico de saude,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
L180-PA-018,PA,Barcarena,Coordenadoria Municipal dos Direitos da Mulher,Coordenadoria/Política para Mulheres,(93) 9919-57656,"Rua Eça de Queiroz (9ª Rua), 420, Bairro Bela Vista",Completo,,Barcarena,barcarena,1501303,Barcarena,completo,1,1,1,0,coordenadoria politica para mulheres,0,0,0,0,0,0,0,0,1,1,coordenadoria politica para mulheres,,,,,,unmatched,No geocoding result,OpenStreetMap Nominatim
