municipality,all_female_records,violencia_domestica_lesao,lesao_corporal,violencia_sexual,estupro,estupro_vulneravel,homicidio_mulher,feminicidio,tentativa_feminicidio,feminicidio_any,police_years_observed
PRAINHA,594,128,220,70,14,56,2,1,0,1,4
PRIMAVERA,209,60,86,24,4,20,0,0,0,0,4
QUATIPURU,269,62,89,22,7,15,1,0,0,0,4
REDENCAO,2959,588,842,221,30,191,18,3,0,3,4
RIO MARIA,373,112,143,29,1,28,5,1,0,1,4
RONDON DO PARA,870,225,297,94,11,83,2,1,0,1,4
RUROPOLIS,426,126,151,80,10,70,0,0,0,0,4
SALINOPOLIS,2040,332,490,176,25,151,4,0,0,0,4
SALVATERRA,944,169,306,111,20,91,0,0,0,0,4
SANTA BARBARA DO PARA,579,81,124,66,9,57,4,1,0,1,4
SANTA CRUZ DO ARARI,198,51,133,10,1,9,0,0,0,0,4
SANTA IZABEL DO PARA,2077,275,412,143,33,110,8,2,0,2,4
SANTA LUZIA DO PARA,239,60,82,35,3,32,1,0,0,0,4
SANTA MARIA DAS BARREIRAS,187,58,87,30,6,24,2,1,0,1,4
SANTA MARIA DO PARA,427,95,139,37,6,31,1,0,0,0,4
SANTANA DO ARAGUAIA,944,333,436,103,16,87,7,2,0,2,4
SANTAREM,8667,1402,2143,620,131,489,17,8,0,8,4
SANTAREM NOVO,123,29,42,19,4,15,1,0,0,0,4
SANTO ANTONIO DO TAUA,802,172,250,94,21,73,1,0,0,0,4
SAO CAETANO DE ODIVELAS,419,77,137,70,7,63,1,0,0,0,4
SAO DOMINGOS DO ARAGUAIA,329,118,149,29,5,24,2,0,0,0,4
SAO DOMINGOS DO CAPIM,415,77,123,77,8,69,1,1,0,1,4
SAO FELIX DO XINGU,1416,335,452,275,32,243,9,3,0,3,4
SAO FRANCISCO DO PARA,271,42,64,23,6,17,0,0,0,0,4
SAO GERALDO DO ARAGUAIA,429,132,194,66,12,54,6,2,0,2,4
SAO JOAO DA PONTA,93,13,27,12,1,11,0,0,0,0,4
SAO JOAO DE PIRABAS,452,78,118,61,10,51,1,0,0,0,4
SAO JOAO DO ARAGUAIA,204,51,72,46,5,41,2,1,0,1,4
SAO MIGUEL DO GUAMA,1585,322,440,135,20,115,3,2,0,2,4
SAO SEBASTIAO DA BOA VISTA,589,109,174,80,8,72,1,0,0,0,4
SAPUCAIA,178,43,77,17,3,14,1,0,0,0,4
SENADOR JOSE PORFIRIO,390,94,140,82,12,70,2,0,0,0,4
