municipality_code,municipality,women_policy_body_exists_raw,women_policy_body_exists,specialized_women_police_station_raw,specialized_women_police_station,programs_actions_for_women_raw,human_rights_protection_women_raw,programs_actions_for_women,human_rights_protection_women,campaigns_against_violence_women,campaigns_indicator_status,institutional_score_available_4,institutional_coverage,population_2023,police_all_female_records,police_violencia_domestica_lesao,police_lesao_corporal,police_violencia_sexual,police_estupro,police_estupro_vulneravel,police_homicidio_mulher,police_feminicidio,police_tentativa_feminicidio,police_feminicidio_any,police_police_years_observed,rate_all_female_records_per_100k_population_2022_2025,rate_violencia_domestica_lesao_per_100k_population_2022_2025,rate_lesao_corporal_per_100k_population_2022_2025,rate_violencia_sexual_per_100k_population_2022_2025,rate_estupro_per_100k_population_2022_2025,rate_estupro_vulneravel_per_100k_population_2022_2025,rate_homicidio_mulher_per_100k_population_2022_2025,rate_feminicidio_any_per_100k_population_2022_2025,institutional_deficit_available_4,cnes_active_establishments,cnes_ubs,cnes_hospitals,cnes_caps,cnes_emergency_units,cnes_obstetric_centers,cnes_health_service_deficit,cnes_active_establishments_per_100k_population,cnes_ubs_per_100k_population,cnes_hospitals_per_100k_population,cnes_caps_per_100k_population,cnes_emergency_units_per_100k_population,cnes_obstetric_centers_per_100k_population
1500909,Augusto Corrêa,Sim,1,Não,0.0,-,Não,,0.0,,not_available_in_munic_2023_questionnaire,1,3,44573,784,139,186,92,7,85,0,0,0,0,4,1758.9123460390822,311.8479797186638,417.2929800551904,206.4029793821372,15.704574518206089,190.69840486393107,0.0,0.0,2,45,0,0,0,0,0,4,100.95797904561057,0.0,0.0,0.0,0.0,0.0
1500958,Aurora do Pará,Não,0,Não informou,,-,Não,,0.0,,not_available_in_munic_2023_questionnaire,0,2,23774,326,57,101,54,8,46,7,1,0,1,4,1371.2458988811306,239.75771851602596,424.8338521073441,227.1388912257088,33.65020610751241,193.48868511819637,29.443930344073355,4.206275763439051,2,29,0,0,0,0,0,4,121.98199713973248,0.0,0.0,0.0,0.0,0.0
1501006,Aveiro,Não,0,Não,0.0,-,Não,,0.0,,not_available_in_munic_2023_questionnaire,0,3,18290,129,31,40,35,2,33,1,1,0,1,4,705.3034445051941,169.4915254237288,218.69874248223076,191.3613996719519,10.934937124111537,180.42646254784037,5.467468562055768,5.467468562055768,3,17,0,0,0,0,0,4,92.94696555494806,0.0,0.0,0.0,0.0,0.0
1501105,Bagre,Sim,1,Não,0.0,Sim,Sim,1.0,1.0,,not_available_in_munic_2023_questionnaire,3,4,31892,640,84,141,97,7,90,0,0,0,0,4,2006.7728583970904,263.3889376646181,442.1171453656089,304.151511350809,21.94907813871817,282.20243321209085,0.0,0.0,1,19,0,0,0,0,0,4,59.57606923366361,0.0,0.0,0.0,0.0,0.0
1501204,Baião,Sim,1,Não,0.0,Sim,Sim,1.0,1.0,,not_available_in_munic_2023_questionnaire,3,4,51641,924,190,292,85,14,71,2,0,0,0,4,1789.2759628976976,367.9247109854573,565.4421874092292,164.59789701980984,27.110241862086323,137.4876551577235,3.872891694583761,0.0,1,41,0,0,0,0,0,4,79.3942797389671,0.0,0.0,0.0,0.0,0.0
1501253,Bannach,Não,0,Não,0.0,-,Não,,0.0,,not_available_in_munic_2023_questionnaire,0,3,4031,35,16,23,5,0,5,0,0,0,0,4,868.2709005209624,396.9238402381543,570.5780203423468,124.03870007442325,0.0,124.03870007442325,0.0,0.0,3,17,0,0,0,0,0,4,421.73158025303894,0.0,0.0,0.0,0.0,0.0
1501303,Barcarena,Sim,1,Sim,1.0,Sim,Sim,1.0,1.0,,not_available_in_munic_2023_questionnaire,4,4,126650,4044,701,946,359,62,297,10,3,0,3,4,3193.051717331228,553.493880773786,746.9403868930123,283.4583497828662,48.95380971180419,234.504540071062,7.895775759968417,2.368732727990525,0,166,0,0,0,0,0,4,131.06987761547572,0.0,0.0,0.0,0.0,0.0
1501402,Belém,Sim,1,Sim,1.0,Sim,Sim,1.0,1.0,,not_available_in_munic_2023_questionnaire,4,4,1303403,84400,6688,11009,2391,536,1855,89,12,2,12,4,6475.357199576801,513.1183524972706,844.6351588879264,183.4428799074423,41.12312155181475,142.31975835562753,6.8282795114020765,0.920666900413763,0,3199,0,0,0,0,0,4,245.43445120196898,0.0,0.0,0.0,0.0,0.0
1501451,Belterra,Não,0,Não,0.0,-,Não,,0.0,,not_available_in_munic_2023_questionnaire,0,3,18099,340,73,110,45,6,39,2,2,0,2,4,1878.556826343997,403.3372009503288,607.768384993646,248.6325211337643,33.15100281783524,215.4815183159291,11.050334272611746,11.050334272611746,3,25,0,0,0,0,0,4,138.12917840764683,0.0,0.0,0.0,0.0,0.0
1501501,Benevides,Não,0,Não,0.0,Sim,Não,1.0,0.0,,not_available_in_munic_2023_questionnaire,1,4,63567,2303,290,438,182,22,160,4,1,0,1,4,3622.949014425724,456.2115563106643,689.0367643588654,286.3120801673824,34.60915254770557,251.70292761967687,6.292573190491923,1.5731432976229809,3,50,0,0,0,0,0,4,78.65716488114903,0.0,0.0,0.0,0.0,0.0
