CodMun,Uf,Cod Uf,Desc Mun,PopMun,Faixa_pop,Regiao,MASS01,MASS03,MASS04,MASS05,MASS051,MASS06,MASS07,MASS091,MASS092,MASS093,MASS094,MASS095,MASS096,MASS097,MASS098,MASS099,MASS0910,MASS0911,MASS0912,MASS0913,MASS10,MASS10a,MASS10b1,MASS10b2,MASS10b3,MASS10b4,MASS10b5,MASS10bb6,MASS10b7,MASS11,MASS11a,MASS1111,MASS1112,MASS12,MASS13,MASS1311,MASS1312,MASS1313,MASS16,MASS161a,MASS161b,MASS161c,MASS162,MASS17,MASS18,MASS191,MASS192,MASS193,MASS20,MASS2011,MASS2012,MASS2013,MASS2014,MASS2015,MASS2016,MASS2017,MASS2018,MASS2019,MASS211,MASS212,MASS213,MASS214,MASS215,MASS216,MASS217,MASS218,MASS22,MASS221,MASS23,MASS241,MASS242,MASS243,MASS244,MASS245,MASS246,MASS247,MASS248,MASS249,MASS2410,MASS2411,MASS2412,MASS2413,MASS24131,MASS2414,MASS2415,MASS2416,MASS2417,MASS2418,MASS2419,MASS251,MASS2511,MASS252,MASS253,MASS2531,MASS254,MASS2541,MASS255,MASS256,MASS2561,MASS257,MASS258,MASS259,MASS2510,MASS2511.1,MASS2512,MASS2513,MASS2514,MASS2515,MASS2516,MASS2517,MASS2518,MASS2519,MASS261,MASS262,MASS263,MASS264,MASS265,MASS266,MASS267,MASS268,MASS269,MASS2610,MASS2611,MASS2612,MASS2613,MASS2614,MASS2615,MASS27,MASS2711,MASS2712,MASS2713,MASS2714
1500859,PA,15,Anapu,31850,4 - 20001 até 50000,1 - Norte,Secretaria municipal exclusiva,Feminino,51,Parda,Não,Especialização,Assistência social,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,2022,-,Não foi atualizado,Sim,Sim,Sim,Sim,Não,Sim,344,2022,Ativo,Paritário,10,12,Não,Sim,-,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Secretaria municipal de assistência social,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Não,Não,-,Sim,Não,Não,Não,Não,Não,Sim,1,Sim,Sim,1,Não,-,Não,Não,-,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,-,Sim,Sim,Sim,Não,Não
1500909,PA,15,Augusto Corrêa,44573,4 - 20001 até 50000,1 - Norte,Secretaria municipal exclusiva,Masculino,44,Parda,Não,Ensino médio (2º Grau) completo,-,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,2013,2022,-,Sim,Sim,Sim,Não,Não,Sim,1321,1997,Ativo,Paritário,12,8,Não,Sim,-,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Secretaria municipal de assistência social,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,2,Não,Sim,1,Não,-,Não,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,-,Sim,Sim,Sim,Não,Sim
1500958,PA,15,Aurora do Pará,23774,4 - 20001 até 50000,1 - Norte,Secretaria municipal exclusiva,Feminino,Não informou,Parda,Não,Ensino superior completo,Pedagogia,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,2013,2023,-,Sim,Sim,Sim,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Secretaria municipal de assistência social,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,-,Sim,Não,Não,Não,Não,Não,Sim,1,Sim,Sim,1,Não,-,Não,Não,-,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,-,Sim,Sim,Sim,Sim,Sim
1501006,PA,15,Aveiro,18290,3 - 10001 até 20000,1 - Norte,Secretaria municipal exclusiva,Feminino,37,Parda,Sim,Ensino superior completo,Assistência social,Sim,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,2017,2022,-,Sim,Sim,Sim,Sim,Não,Sim,383,1998,Ativo,Paritário,12,8,Sim,Não,-,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Gabinete do prefeito,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,-,Não,Não,Não,Não,Não,Não,Sim,1,Sim,Sim,1,Não,-,Não,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,-,Sim,Sim,Sim,Sim,Sim
1501105,PA,15,Bagre,31892,4 - 20001 até 50000,1 - Norte,Secretaria municipal exclusiva,Masculino,43,Preta,Sim,Ensino superior incompleto,-,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,2022,-,Não foi atualizado,Sim,Sim,Sim,Sim,Não,Sim,8,2005,Ativo,Tem maior representação governamental,7,22,Não,Sim,-,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Secretaria municipal de assistência social,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,-,Não,Não,Não,Não,Não,Não,Sim,1,Não,Sim,1,Não,-,Não,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,-,Sim,Sim,Sim,Não,Sim
1501204,PA,15,Baião,51641,5 - 50001 até 100000,1 - Norte,Secretaria municipal exclusiva,Masculino,56,Branca,Sim,Ensino médio (2º Grau) incompleto,-,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,2020,-,Não foi atualizado,Sim,Não,-,-,-,Sim,1236,1995,Ativo,Paritário,15,16,Não,Sim,-,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Secretaria municipal de assistência social,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,-,Não,Não,Não,Não,Não,Não,Sim,1,Não,Sim,1,Não,-,Não,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,-,Sim,Sim,Sim,Não,Sim
1501253,PA,15,Bannach,4031,1 - Até 5000,1 - Norte,Secretaria municipal exclusiva,Masculino,33,Branca,Não,Ensino superior completo,Psicologia,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Sim,2022,-,Não foi atualizado,Sim,Sim,Sim,Sim,Não,Sim,10,1997,Ativo,Paritário,4,10,Não,Sim,-,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Secretaria municipal de assistência social,Sim,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,-,Não,Não,Não,Não,Não,Não,Sim,2,Não,Não,-,Não,-,Não,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Sim,Sim,Sim,Não,Sim
1501303,PA,15,Barcarena,126650,6 - 100001 até 500000,1 - Norte,Secretaria municipal exclusiva,Feminino,47,Parda,Sim,Especialização,Assistência social,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,2022,2022,-,Sim,Sim,Sim,Não,Não,Sim,1902,1997,Ativo,Paritário,13,24,Sim,Não,-,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Secretaria municipal de assistência social,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,-,Sim,Sim,Não,Não,Não,Não,Sim,6,Não,Sim,1,Não,-,Não,Não,-,Sim,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,-,Sim,Sim,Sim,Não,Sim
1501402,PA,15,Belém,1303403,7 - Maior que 500000,1 - Norte,Órgão da administração indireta,Masculino,57,Branca,Sim,Doutorado,Outra,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,2022,-,Não foi atualizado,Sim,Sim,Sim,Sim,Não,Sim,7857,1997,Ativo,Paritário,19,36,Não,Sim,-,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Secretaria municipal de assistência social,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,12,Sim,Sim,5,Sim,2,Sim,Sim,1,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,-,Sim,Sim,Sim,Sim,Sim
1501451,PA,15,Belterra,18099,3 - 10001 até 20000,1 - Norte,Secretaria municipal exclusiva,Feminino,42,Parda,Não,Especialização,Outra,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,2022,-,Não foi atualizado,Sim,Sim,Sim,Sim,Não,Sim,35,1999,Ativo,Paritário,15,20,Sim,Não,-,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Secretaria municipal de assistência social,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,-,Não,Não,Não,Não,Não,Não,Sim,1,Sim,Sim,1,Não,-,Não,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Não,-,Sim,Sim,Não,Sim,Sim
