Temas disponíveis,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,variável
,Ano de criação,,,,MPPM11a
,Por qual instrumento,,,,MPPM111
,Último ano de vigência do plano,,,,MPPM112
,,,,,
"O município desenvolve na área de políticas para mulheres, programa, projeto ou ação em cooperação, convênio e/ou articulação com:",,,,,
,Administração pública federal,,,,MPPM121
,Administração pública estadual,,,,MPPM122
,Administração pública municipal,,,,MPPM123
,Organizações não-governamentais,,,,MPPM124
,Outras instituições privadas,,,,MPPM125
,Organismos internacionais (exceto ONG),,,,MPPM126
,Entidades religiosas,,,,MPPM127
,Entidade de trabalhadores,,,,MPPM128
,Poder judiciário,,,,MPPM129
,Poder legislativo,,,,MPPM1210
,Não desenvolve,,,,MPPM1211
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
5.3 Conselho e fundo municipal de direitos da mulher,,,,,
Conselho municipal de direitos da mulher - existência,,,,,MPPM13
,Lei de criação ,,,,MPPM131a
,Ano de criação ,,,,MPPM131b
,O conselho está,,,,MPPM13c
,Formação,,,,MPPM132
,Carater:,,,,
,,Consultivo,,,MPPM14a1
,,Deliberativo,,,MPPM14a2
,,Normativo,,,MPPM14a3
,,Fiscalizador,,,MPPM14a4
,Quantidade de reuniões (presenciais ou remotas) nos últimos 12 meses,,,,MPPM14
,Número de conselheiros (titulares e suplentes),,,,MPPM15
,Capacitação para os membros:,,,,
,,Continuada,,,MPPM161
,,Eventualmente,,,MPPM162
,,Não realiza,,,MPPM163
,Disponibiliza infraestrutura para o funcionamento,,,,MPPM17
,,Sala própria,,,MPPM1711
,,Computador,,,MPPM1712
,,Impressora,,,MPPM1713
,,Acesso à internet,,,MPPM1714
,,Veículo próprio,,,MPPM1715
,,Telefone,,,MPPM1716
,,Diárias,,,MPPM1717
,,Dotação orçamentária própria,,,MPPM1718
,,Transporte/Locomoção,,,MPPM1719
,O Conselho é vinculado administrativamente,,,,MPPM18
,Quem preside o conselho,,,,MPPM19
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
5.4 Estrutura e serviços,,,,,
Casas-abrigo para Mulheres em situação de violência doméstica e familiar (7) ou Serviços de Acolhimento para Mulheres em situação de violência (Sistema Único de Assistência Social - SUAS) (8),,,,,MPPM20
,Quantidade,,,,MPPM201
,O endereço da casa ou abrigo é sigiloso,,,,MPPM202
,Principais atividades realizadas:,,,,
,,Atendimento psicológico individual,,,MPPM211
,,Atendimento psicológico em grupo,,,MPPM212
,,Atividades culturais e educativas,,,MPPM213
,,Atividades profissionalizantes,,,MPPM214
,,Atendimento social9,,,MPPM215
,,Atendimento jurídico10,,,MPPM216
,,Atendimento médico11,,,MPPM217
,,Acompanhamento pedagógico das crianças,,,MPPM218
,,Encaminhamento para programas de emprego e geração de renda,,,MPPM219
,,Garantia de inserção/permanência das crianças na escola,,,MPPM2110
,,Creche,,,MPPM2111
,,Outras atividades,,,MPPM2112
,,Não sabe informar,,,MPPM2113
,,,,,
Serviços especializados de enfrentamento à violência contra mulheres no estado - existência,,,,,MPPM23
,Serviços especializados existentes:,,,,
,,Centro Especializado de Atendimento à Mulher (CEAM) ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência (NIAM) (12),,,MPPM24a1
,,Serviços especializados de atendimento à violência sexual (13),,,MPPM24a2
,,Centro Integrado de Serviços de Atendimento a Mulheres em Situação de Violência (14),,,MPPM24a3
,,Unidades Móveis de Atendimento à Mulher (15),,,MPPM24a4
,,Casas de Acolhimento de Curta Duração (Casa de Passagem),,,MPPM24a5
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
"(7) Casa(s) Abrigo são locais seguros que oferecem abrigo protegido e integral a mulheres em situação de violência doméstica e familiar sob risco de morte iminente. Constitui serviço temporário e em geral de caráter sigiloso, no qual as usuárias poderão permanecer por período determinado, durante o qual deverão reunir condições necessárias para retomar o curso de suas vidas. Atendem exclusivamente mulheres e seus dependentes (sejam homens ou mulheres). Forão consideradas apenas as casas-abrigos de responsabilidade da gestão municipal.",,,,,
"(8) Serviços de Acolhimento para Mulheres em situação de violência acolhimento provisório para mulheres, acompanhadas ou não de seus filhos, em situação de risco de morte ou ameaças em razão da violência doméstica e familiar, causadora de lesão, sofrimento físico, sexual, psicológico ou dano moral. Deve ser desenvolvido em local sigiloso. Forão consideradas apenas os serviços de responsabilidade da gestão municipal.",,,,,
"(9) Atendimento social acompanhado por assistente social que insira a mulher em programas sociais do governo, como Bolsa-Família e/ou Benefícios de Prestação Continuada.",,,,,
(10) Atendimento jurídico no caso de advogado próprio ou de encaminhamentos para Defensoria Pública.,,,,,
"(11) Atendimento médico, hospitalar ou de outra especialidade da área de saúde, ou encaminhamento para serviço de saúde da rede pública.",,,,,
"(12) Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência: prestam acolhimento, acompanhamento psicossocial e orientação jurídica às mulheres em situação de violência (violência doméstica e familiar contra a mulher; tráfico de mulheres, assédio sexual; assédio moral; etc).",,,,,
"(13) Serviços Especializados de Atendimento à Violência Sexual são serviços de saúde especializados no atendimento a mulheres em situação de violência contam com equipes multidisciplinares (psicólogos, assistentes sociais, enfermeiras/os e medicas/os) capacitadas para atender os casos de violência sexual e outras violências. Esses serviços fazem parte do Sistema Único de Saúde (SUS), que é universal e presta atendimento a toda população de forma gratuita.",,,,,
"(14) Centro Integrado de Serviços de Atendimento a Mulheres em Situação de Violência reune em um mesmo espaço físico, diferentes serviços voltados à mulher em situação de violência, tais como: Apoio Psicossocial; Delegacia; Juizado Especializado em Violência Doméstica e Familiar contra as Mulheres; Ministério Público, Defensoria Pública; Serviço de Promoção de Autonomia Econômica; Alojamento de Passagem e Central de Transportes. Ressalta-se que esse tipo de serviço não se confunde com CEAM ou CRAM.",,,,,
"(15) Unidades Móveis de Atendimento à Mulher são ônibus especialmente desenvolvidos para o trânsito fora de estrada, adaptados para o atendimento às mulheres do campo e da floresta.",,,,,
,,,,,
9.5 Levantamento de informações,,,,,
Levantamento do quantitativo de mulheres atendidas pelos Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência - existência,,,,,MPPM25
,Quantitativo é divulgado,,,,MPPM251
,,Quantos atendimentos foram feitos em 2017,,,MPPM252
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
,,,,,
6. Segurança Pública,,,,,
6.1 Órgão gestor da Segurança Pública,,,,,subtítulo link
"6.2 Conselho, conselho comunitário, fundo e plano municipal de segurança",,,,,subtítulo link
6.3 Estrutura existente ,,,,,subtítulo link
6.4 Conselho municipal de defesa civil,,,,,subtítulo link
6.5 Guarda Municipal,,,,,subtítulo link
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
6. Segurança Pública,,,,,
6.1 Órgão gestor da segurança pública e perfil do gestor,,,,,
Caracterização do órgão de segurança pública,,,,,MSEG01
,,,,,
Perfil do gestor:,,,,,
,Sexo,,,,MSEG03
,Idade ,,,,MSEG04
,Cor/raça,,,,MSEG05
,,Foi respondido pelo próprio titular do órgão gestor,,,MSEG051
,Escolaridade,,,,MSEG06
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
"(**) Sem gestor - apesar de ter estrutura para a política, no momento da coleta da informação não tinha gestor nomeado.",,,,,
,,,,,
"6.2 Conselho, conselho comunitário, fundo e plano municipal de segurança",,,,,
Conselho municipal de segurança pública - existência,,,,,MSEG07
,Lei de criação,,,,MSEG071a
,Ano de criação,,,,MSEG071b
,O conselho está,,,,MSEG071c
,Formação ,,,,MSEG072
,Caráter:,,,,
,,Consultivo,,,MSEG081
,,Deliberativo,,,MSEG082
,,Normativo,,,MSEG083
,,Fiscalizador,,,MSEG084
,Quantidade de reuniões (presenciais ou remotas) nos últimos 12 meses ,,,,MSEG09
,Número de conselheiros (titulares e suplentes),,,,MSEG10
,Capacitação dos membros:,,,,
,,Periodicamente,,,MSEG111
,,Ocasionalmente,,,MSEG112
,,Não realiza,,,MSEG113
,Município disponibiliza infraestrutura ,,,,MSEG12
,,Sala ,,,MSEG1211
,,Computador,,,MSEG1212
,,Impressora,,,MSEG1213
,,Acesso à internet,,,MSEG1214
,,Veículo,,,MSEG1215
,,Telefone,,,MSEG1216
,,Diárias,,,MSEG1217
,,Dotação orçamentária própria,,,MSEG1218
,,Transporte/locomoção,,,MSEG1219
,,,,,
Conselho comunitário de segurança pública - Existência,,,,,MSEG13
,,,,,
Fundo municipal de segurança pública - Existência,,,,,MSEG14
,,,,,
Plano municipal de segurança pública - Existência,,,,,MSEG15
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
6.3 Estrutura existente ,,,,,
Existe no município:,,,,,
,Delegacia de Polícia Civil,,,,MSEG161
,Delegacia de Homicídios,,,,MSEG162
,Delegacia de Proteção à Pessoa Idosa,,,,MSEG163
,Delegacia de Proteção à Criança e ao Adolescente (DPCA),,,,MSEG164
,Delegacia da Criança e do Adolescente (DCA),,,,MSEG165
,Delegacia da Criança e do Adolescente (especialidades não separadas),,,,MSEG166
,Delegacia de Proteção ao Meio Ambiente,,,,MSEG167
,Delegacia especializada no Atendimento à Mulher,,,,MSEG168
,Delegacia especializada em Pessoas Desaparecidas,,,,MSEG169
,Delegacia de Repressão aos Crimes de Informática,,,,MSEG1610
,Nenhuma das citadas,,,,MSEG1611
,,,,,
,Instituto Médico Legal,,,,MSEG17
,Sede de Comarca,,,,MSEG18
,Unidade do Corpo de Bombeiros,,,,MSEG19
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
6.4 Guarda Municipal,,,,,
Guarda municipal - existência,,,,,MSEG27
,Lei de criação,,,,MSEG271a
,Ano de criação,,,,MSEG271b
,Efetivo em 31 de dezembro de 2022:,,,,
,,Homens,,,MSEG281
,,Mulheres,,,MSEG282
,,Total,,,MSEG283
,Responsável pela realização do curso de formação dos profissionais:,,,,
,,Guarda Municipal,,,MSEG291
,,Polícia Militar,,,MSEG292
,,Corpo de Bombeiros,,,MSEG293
,,Polícia Civil,,,MSEG294
,,Realizado em unidade conveniada/parceira,,,MSEG295
,,Não possui,,,MSEG296
,Cursos de capacitação e aperfeiçoamento dos profissionais ocorre:,,,,
,,Periodicamente,,,MSEG301
,,Ocasionalmente,,,MSEG302
,,Não realiza,,,MSEG303
,Temas:,,,,
,,Ações socioeducativas,,,MSEG311
,,Armas de fogo,,,MSEG312
,,Armas não letais,,,MSEG313
,,Atendimento ao público,,,MSEG314
,,Códigos de conduta profissional,,,MSEG315
,,Condução e operação de viaturas,,,MSEG316
,,Defesa pessoal,,,MSEG317
,,Defesa civil,,,MSEG318
,,Direção defensiva,,,MSEG319
,,"Educação ambiental (direito ambiental, crimes ambientais)",,,MSEG3110
,,Enfrentamento à LGBTQIA+fobia,,,MSEG3111
,,Enfrentamento ao racismo,,,MSEG3112
,,Legislação de trânsito,,,MSEG3113
,,Mediação de conflitos,,,MSEG3114
,,Patrulhamento comunitário,,,MSEG3115
,,Prevenção ao uso de substâncias psicoativas,,,MSEG3116
,,Primeiros socorros,,,MSEG3117
,,Uso diferenciado da força,,,MSEG3118
,,Violência doméstica e de gênero,,,MSEG3119
,,Violência nas escolas,,,MSEG3120
,,Outros temas,,,MSEG3121
,,Não houve capacitação em 2022,,,MSEG3122
,,Não sabe informar,,,MSEG3123
,Formação profissional do comandante,,,,MSEG32
,Armas utilizadas,,,,MSEG33
,Existência de plano de carreira ,,,,MSEG34
,Faixa do salário inicial,,,,MSEG35
,Órgãos de controle:,,,,
,,Existência de Órgão de Controle Interno (Corregedoria),,,MSEG361
,,Existência de Órgão de Controle Externo (Ouvidoria),,,MSEG362
,,Órgão de Controle Social (Colegiado),,,MSEG363
,,Não possui,,,MSEG364
,Registro de ocorrências,,,,MSEG37
,Principais atividades:,,,,
,,  Ações educativas junto à população,,,MSEG381
,,  Assistência ao judiciário,,,MSEG382
,,  Atendimento de ocorrências policiais,,,MSEG383
,,"  Atendimento sociais (assistência social, dentre outros)",,,MSEG384
,,  Auxílio à defesa civil,,,MSEG385
,,  Auxílio à polícia civil,,,MSEG386
,,  Auxílio à polícia militar,,,MSEG387
,,  Auxílio à vigilância sanitária,,,MSEG388
,,  Auxílio ao público,,,MSEG389
,,  Auxílio no aterndimento do conselho tutelar,,,MSEG3810
,,  Auxílio no ordenamento e controle do trânsito,,,MSEG3811
,,  Controle e fiscalização de comércio de ambulantes,,,MSEG3812
,,  Patrulhamento de vias públicas,,,MSEG3813
,,"  Patrulhamento ostensivo a pé, motorizado ou montado",,,MSEG3814
,,"  Posto de guarda (bairros, entrada da cidade, entre outros)",,,MSEG3815
,,  Programa de prevenção ao crime (16),,,MSEG3816
,,  Proteção ao patrimônio (17),,,MSEG3817
,,"  Proteção da população que utiliza os bens, serviços e instalações municipais",,,MSEG3818
,,"  Proteção de bens, equipamentos e prédios do município",,,MSEG3819
,,  Ronda escolar,,,MSEG3820
,,  Segurança em eventos para comemorações,,,MSEG3821
,,  Segurança e/ou proteção do prefeito e/ou outras autoridades,,,MSEG3822
,,"  Serviços administrativos (serviços burocráticos, secretariar autoridades)",,,MSEG3823
,Tipo de veículo utilizado pela guarda municipal em suas atividades diárias,,,,
,, Automóvel,,,MSEG391
,, Motocicleta,,,MSEG392
,, Bicicleta,,,MSEG393
,, Cavalo,,,MSEG394
,, Barco,,,MSEG395
,, Outros,,,MSEG396
,, Não utiliza nenhum meio de transporte,,,MSEG397
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
"(16) Programas de prevenção ao crime e violência isoladamente ou em conjunto com os demais órgãos da própria municipalidae, de outros municípios ou das esferas estadual e federal.",,,,,
"(17) Proteção ao patrimônio ecológico, histórico, cultural, arquitetônico e ambiental do município.",,,,,
,,,,,
,,,,,
7. DIREITOS HUMANOS,,,,,
7.1 Órgão gestor dos direitos humanos e perfil do gestor,,,,,subtítulo link
7.2 Legislação municipal,,,,,subtítulo link
7.3 Conselhos municipais,,,,,subtítulo link
7.4 Comitês e comissões,,,,,subtítulo link
7.5 Conferências municipais,,,,,subtítulo link
7.6 Fundo municipal,,,,,subtítulo link
7.7 Políticas ou programas na área de direitos humanos,,,,,subtítulo link
7.8 Direitos das crianças e adolescentes,,,,,subtítulo link
7.9 Direitos das pessoas com deficiência,,,,,subtítulo link
7.10 Direitos da pessoa idosa,,,,,subtítulo link
7.11 Direitos da pessoa em situação de rua,,,,,subtítulo link
7.12 Acampamento cigano,,,,,subtítulo link
7.13 Comunidades tradicionais,,,,,subtítulo link
7.14 Denúncias de violação dos direitos humanos,,,,,subtítulo link
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
,,,,,
7. DIREITOS HUMANOS,,,,,
7.1 Órgão gestor dos direitos humanos e perfil do gestor,,,,,
Caracterização do órgão gestor de direitos humanos,,,,,MDHU01
Secretaria ou setor que a política de direitos humanos está associada,,,,,
,Assistência social,,,,MDHU021
,Educação,,,,MDHU022
,Justiça,,,,MDHU023
,Saúde,,,,MDHU024
,Segurança pública,,,,MDHU025
,Outra,,,,MDHU026
,,,,,
Perfil do gestor:,,,,,
,Sexo ,,,,MDHU04
,Idade ,,,,MDHU05
,Cor/raça ,,,,MDHU06
,,Foi respondido pelo próprio titular do órgão gestor,,,MDHU061
,Escolaridade ,,,,MDHU07
,,,,,
Executa programas e ações para grupos específicos de:,,,,,
,Ciganos,,,,MDHU081
,Crianças e adolescentes,,,,MDHU082
,Mulheres,,,,MDHU083
,Pessoas idosas,,,,MDHU084
,Pessoa com deficiência,,,,MDHU085
,LGBTQIA+,,,,MDHU086
,População em situação de rua,,,,MDHU087
,População negra,,,,MDHU088
,Povos indígenas,,,,MDHU089
,Comunidades quilombolas,,,,MDHU0810
,Povos de terreiro/matriz africana,,,,MDHU0811
,Outros povos e comunidades tradicionais,,,,MDHU0812
,Não executa,,,,MDHU0813
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
"(**) Sem gestor - apesar de ter estrutura para a política, no momento da coleta da informação não tinha gestor nomeado.",,,,,
,,,,,
7.2 Legislação municipal,,,,,
O tema direitos humanos é tratado:,,,,,
,Lei orgânica,,,,MDHU091
,Plano plurianual,,,,MDHU092
,Lei orçamentária Anual,,,,MDHU093
,Lei de Diretrizes orçamentárias ,,,,MDHU094
,Plano diretor,,,,MDHU095
,Nenhum item citado,,,,MDHU096
,,,,,
Legislação específica:,,,,,
,Enfrentamento à violência sexual contra crianças e adolescentes ,,,,MDHU101
,,Lei ,,,MDHU1011A
,,Ano de criação,,,MDHU1011B
,Enfrentamento à violência contra a mulher,,,,MDHU102
,,Lei ,,,MDHU1021A
,,Ano de criação,,,MDHU1021B
,Atendimento socioeducativo,,,,MDHU103
,,Lei ,,,MDHU1031A
,,Ano de criação,,,MDHU1031B
,Promoção do direito de crianças e adolescentes à convivência familiar e comunitária,,,,MDHU104
,,Lei ,,,MDHU1041A
,,Ano de criação,,,MDHU1041B
,Proteção integral a primeira infância,,,,MDHU105
,,Lei ,,,MDHU1051A
,,Ano de criação,,,MDHU1051B
,Promoção da igualdade racial e/ou de enfrentamento ao racismo,,,,MDHU106
,,Lei ,,,MDHU1061A
,,Ano de criação,,,MDHU1061B
,Combate à discriminação racial no âmbito da administração pública,,,,MDHU107
,,Lei ,,,MDHU1071A
,,Ano de criação,,,MDHU1071B
,Política para a população em situação de rua,,,,MDHU108
,,Lei ,,,MDHU1081A
,,Ano de criação,,,MDHU1081B
,"Proteção dos direitos de lésbicas, gays, bissexuais, travestis e transexuais",,,,MDHU109
,,Lei ,,,MDHU1091A
,,Ano de criação,,,MDHU1091B
,Reconhecimento do nome social de travestis e transexuais,,,,MDHU1010
,,Lei ,,,MDHU10101A
,,Ano de criação,,,MDHU10101B
,Garantia de atendimento diferenciado a povos não falantes da língua portuguesa,,,,MDHU1011
,,Lei ,,,MDHU10111A
,,Ano de criação,,,MDHU10111B
,Reconhecimento e proteção do patrimônio (18),,,,MDHU1012
,,Lei ,,,MDHU10121A
,,Ano de criação,,,MDHU10121B
,Adaptação de espaços públicos para facilitar a acessibilidade (19),,,,MDHU1013
,,Lei ,,,MDHU10131A
,,Ano de criação,,,MDHU10131B
,Promoção de direitos das pessoas idosas,,,,MDHU1014
,,Lei ,,,MDHU10141A
,,Ano de criação,,,MDHU10141B
,Constituição de centros de referência e atendimento em direitos humanos,,,,MDHU1015
,,Lei ,,,MDHU10151A
,,Ano de criação,,,MDHU10151B
,Garantia de passe livre municipal a pessoa com deficiência no transporte coletivo,,,,MDHU1016
,,Lei ,,,MDHU10161A
,,Ano de criação,,,MDHU10161B
,Nenhuma legislação citada,,,,MDHU1017
,,,,,
Plano municipal de direitos humanos - existência,,,,,MDHU11
,Instrumento de regulamentação,,,,MDHU111
,Número da legislação,,,,MDHU112A
,Ano da legislação,,,,MDHU112B
,Não regulamentado por instrumento legal - ano de elaboração,,,,MDHU113
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2023",,,,,
"(18) Reconhecimento e proteção do patrimônio das comunidades indígenas, quilombolas e outros povos e comunidades tradicionais.",,,,,
(19) Adaptação de espaços públicos para facilitar a acessibilidade a pessoas com deficiência ou mobilidade reduzida,,,,,
,,,,,
7.3 Conselhos municipais,,,,,
Conselho Municipal de Direitos Humanos - existência,,,,,MDHU12
,Lei de criação,,,,MDHU121A
,Ano de criação,,,,MDHU121B
,O Conselho está:,,,,MDHU121C
,Formação ,,,,MDHU122
,Caráter:,,,,
,,Consultivo,,,MDHU131
,,Deliberativo,,,MDHU132
,,Normativo,,,MDHU133
,,Fiscalizador,,,MDHU134
,Quantidade de reuniões (presenciais ou remotas) nos últimos 12 meses,,,,MDHU14
,Número de conselheiros (titulares e suplentes),,,,MDHU15
,Capacitação dos membros:,,,,
,,Periodicamente,,,MDHU161
,,Ocasionalmente,,,MDHU162
,,Não realiza,,,MDHU163
,Município disponibiliza infraestrutura ,,,,MDHU17
,,Sala ,,,MDHU1711
,,Computador,,,MDHU1712
,,Impressora,,,MDHU1713
,,Acesso à internet,,,MDHU1714
,,Veículo,,,MDHU1715
,,Telefone,,,MDHU1716
,,Diárias,,,MDHU1717
,,Dotação orçamentária própria,,,MDHU1718
,,Transporte/Locomoção,,,MDHU1719
,,,,,
Conselho Municipal de Direitos da Criança e do Adolescente - existência,,,,,MDHU18
,Lei de criação,,,,MDHU181A
,Ano de criação,,,,MDHU181B
,O Conselho está:,,,,MDHU181C
,Formação ,,,,MDHU182
,Caráter:,,,,
,,Consultivo,,,MDHU191
,,Deliberativo,,,MDHU192
,,Normativo,,,MDHU193
,,Fiscalizador,,,MDHU194
,Quantidade de reuniões (presenciais ou remotas) nos últimos 12 meses,,,,MDHU20
,Número de conselheiros (titulares e suplentes),,,,MDHU21
,Capacitação dos membros:,,,,
,,Periodicamente,,,MDHU221
,,Ocasionalmente,,,MDHU222
,,Não realiza,,,MDHU223
,Município disponibiliza infraestrutura ,,,,MDHU23
,,Sala ,,,MDHU2311
,,Computador,,,MDHU2312
,,Impressora,,,MDHU2313
,,Acesso à internet,,,MDHU2314
,,Veículo,,,MDHU2315
,,Telefone,,,MDHU2316
,,Diárias,,,MDHU2317
,,Dotação orçamentária própria,,,MDHU2318
,,Transporte/Locomoção,,,MDHU2319
,,,,,
Conselho Municipal de Direitos da Pessoa Idosa - existência,,,,,MDHU24
,Lei de criação,,,,MDHU241A
,Ano de criação,,,,MDHU241B
,O Conselho está:,,,,MDHU241C
,Formação ,,,,MDHU242
,Caráter:,,,,
,,Consultivo,,,MDHU251
,,Deliberativo,,,MDHU252
,,Normativo,,,MDHU253
,,Fiscalizador,,,MDHU254
,Quantidade de reuniões (presenciais ou remotas) nos últimos 12 meses,,,,MDHU26
,Número de conselheiros (titulares e suplentes),,,,MDHU27
,Capacitação dos membros:,,,,
,,Periodicamente,,,MDHU281
,,Ocasionalmente,,,MDHU282
,,Não realiza,,,MDHU283
,Município disponibiliza infraestrutura ,,,,MDHU29
,,Sala ,,,MDHU2911
,,Computador,,,MDHU2912
,,Impressora,,,MDHU2913
,,Acesso à internet,,,MDHU2914
,,Veículo,,,MDHU2915
,,Telefone,,,MDHU2916
,,Diárias,,,MDHU2917
,,Dotação orçamentária própria,,,MDHU2918
,,Transporte/Locomoção,,,MDHU2919
,,,,,
Conselho Municipal de Direitos da Pessoa com Deficiência - existência,,,,,MDHU30
,Lei de criação,,,,MDHU301A
,Ano de criação,,,,MDHU301B
,O Conselho está:,,,,MDHU301C
,Formação ,,,,MDHU302
,Caráter:,,,,
,,Consultivo,,,MDHU311
,,Deliberativo,,,MDHU312
,,Normativo,,,MDHU313
,,Fiscalizador,,,MDHU314
,Quantidade de reuniões (presenciais ou remotas) nos últimos 12 meses,,,,MDHU32
,Número de conselheiros (titulares e suplentes),,,,MDHU33
,Capacitação dos membros:,,,,
,,Periodicamente,,,MDHU341
,,Ocasionalmente,,,MDHU342
,,Não realiza,,,MDHU343
,Município disponibiliza infraestrutura ,,,,MDHU35
,,Sala ,,,MDHU3511
,,Computador,,,MDHU3512
,,Impressora,,,MDHU3513
,,Acesso à internet,,,MDHU3514
,,Veículo,,,MDHU3515
,,Telefone,,,MDHU3516
,,Diárias,,,MDHU3517
,,Dotação orçamentária própria,,,MDHU3518
,,Transporte/Locomoção,,,MDHU3519
,,,,,
"Conselho Municipal de Direitos de Lésbicas, Gays, Bissexuais, Travestis e Transexuais - existência",,,,,MDHU36
,Lei de criação,,,,MDHU361A
,Ano de criação,,,,MDHU361B
,O Conselho está:,,,,MDHU361C
,Formação ,,,,MDHU362
,Caráter:,,,,
,,Consultivo,,,MDHU371
,,Deliberativo,,,MDHU372
,,Normativo,,,MDHU373
,,Fiscalizador,,,MDHU374
,Quantidade de reuniões (presenciais ou remotas) nos últimos 12 meses,,,,MDHU38
,Número de conselheiros (titulares e suplentes),,,,MDHU39
,Capacitação dos membros:,,,,
,,Periodicamente,,,MDHU401
,,Ocasionalmente,,,MDHU402
,,Não realiza,,,MDHU403
,Município disponibiliza infraestrutura ,,,,MDHU41
,,Sala ,,,MDHU4111
,,Computador,,,MDHU4112
,,Impressora,,,MDHU4113
,,Acesso à internet,,,MDHU4114
,,Veículo,,,MDHU4115
,,Telefone,,,MDHU4116
,,Diárias,,,MDHU4117
,,Dotação orçamentária própria,,,MDHU4118
,,Transporte/Locomoção,,,MDHU4119
,,,,,
Conselho Municipal de Igualdade Racial - existência,,,,,MDHU42
,Lei de criação,,,,MDHU421A
,Ano de criação,,,,MDHU421B
,O Conselho está:,,,,MDHU421C
,Formação ,,,,MDHU422
,Caráter:,,,,
,,Consultivo,,,MDHU431
,,Deliberativo,,,MDHU432
,,Normativo,,,MDHU433
,,Fiscalizador,,,MDHU434
,Quantidade de reuniões (presenciais ou remotas) nos últimos 12 meses,,,,MDHU44
,Número de conselheiros (titulares e suplentes),,,,MDHU45
,Capacitação dos membros:,,,,
,,Periodicamente,,,MDHU461
,,Ocasionalmente,,,MDHU462
,,Não realiza,,,MDHU463
,Município disponibiliza infraestrutura ,,,,MDHU47
,,Sala ,,,MDHU4711
,,Computador,,,MDHU4712
,,Impressora,,,MDHU4713
,,Acesso à internet,,,MDHU4714
,,Veículo,,,MDHU4715
,,Telefone,,,MDHU4716
,,Diárias,,,MDHU4717
,,Dotação orçamentária própria,,,MDHU4718
,,Transporte/Locomoção,,,MDHU4719
,,,,,
Conselho Municipal dos Povos e Comunidades Tradicionais - existência,,,,,MDHU48
,Lei de criação,,,,MDHU481A
,Ano de criação,,,,MDHU481B
,O Conselho está:,,,,MDHU481C
,Formação ,,,,MDHU482
,Caráter:,,,,
,,Consultivo,,,MDHU491
,,Deliberativo,,,MDHU492
,,Normativo,,,MDHU493
,,Fiscalizador,,,MDHU494
,Quantidade de reuniões (presenciais ou remotas) nos últimos 12 meses,,,,MDHU50
,Número de conselheiros (titulares e suplentes),,,,MDHU51
,Capacitação dos membros:,,,,
,,Periodicamente,,,MDHU521
,,Ocasionalmente,,,MDHU522
,,Não realiza,,,MDHU523
,Município disponibiliza infraestrutura ,,,,MDHU53
,,Sala ,,,MDHU5311
,,Computador,,,MDHU5312
,,Impressora,,,MDHU5313
,,Acesso à internet,,,MDHU5314
,,Veículo,,,MDHU5315
,,Telefone,,,MDHU5316
,,Diárias,,,MDHU5317
,,Dotação orçamentária própria,,,MDHU5318
,,Trasporte/Locomoção,,,MDHU5319
,,,,,
"Fonte: IBGE, Pesquisa de Informações Básicas Municipais – 2023",,,,,
,,,,,
7.4 Comitês e comissões,,,,,
Comissão para a implantação e acompanhamento do plano de promoção do direito de crianças e adolescentes à convivência familiar e comunitária - existência,,,,,MDHU541
,Lei de criação,,,,MDHU5411A
,Ano,,,,MDHU5411B
,Quantidade de reuniões nos últimos 12 meses,,,,MDHU5412
,,,,,
Comitê gestor para o enfrentamento e erradicação do sub-registro de nascimento e a ampliação do acesso à documentação básica - existência,,,,,MDHU542
,Lei de criação,,,,MDHU5421A
,Ano,,,,MDHU5421B
,Quantidade de reuniões nos últimos 12 meses,,,,MDHU5422
,,,,,
Comitê Gestor do Programa Nacional de Documentação da Trabalhadora Rural - existência,,,,,MDHU543
,Lei de criação,,,,MDHU5431A
,Ano,,,,MDHU5431B
,Quantidade de reuniões nos últimos 12 meses,,,,MDHU5432
,,,,,
Comitê Gestor da política para a População em Situação de Rua - existência,,,,,MDHU544
,Lei de criação,,,,MDHU5441A
,Ano,,,,MDHU5441B
