CodMun,UF,Cod UF,Mun,PopMun,Faixa_pop,Regiao,MPPM01,MPPM02,MPPM031,MPPM032,MPPM033,MPPM034,MPPM035,MPPM036,MPPM05,MPPM06,MPPM07,MPPM071,MPPM08,MPPM10a1,MPPM10a2,MPPM10a3,MPPM10a4,MPPM10a5,MPPM10a6,MPPM10a7,MPPM10a8,MPPM10a9,MPPM10a10,MPPM10a11,MPPM11,MPPM11A,MPPM111,MPPM1121,MPPM121,MPPM122,MPPM123,MPPM124,MPPM125,MPPM126,MPPM127,MPPM128,MPPM129,MPPM1210,MPPM1211,MPPM13,MPPM131a,MPPM131b,MPPM131c,MPPM132,MPPM14a1,MPPM14a2,MPPM14a3,MPPM14a4,MPPM14,MPPM15,MPPM161,MPPM162,MPPM163,MPPM17,MPPM1711,MPPM1712,MPPM1713,MPPM1714,MPPM1715,MPPM1716,MPPM1717,MPPM1718,MPPM1719,MPPM18,MPPM19,MPPM20,MPPM201,MPPM202,MPPM211,MPPM212,MPPM213,MPPM214,MPPM215,MPPM216,MPPM217,MPPM218,MPPM219,MPPM2110,MPPM2111,MPPM2112,MPPM2113,MPPM24a1,MPPM24a11,MPPM24a2,MPPM24a21,MPPM24a3,MPPM24a31,MPPM24a4,MPPM24a41,MPPM24a5,MPPM24a51,MPPM25,MPPM251,MPPM252
1502103,PA,15,Cametá,134184,6 - 100001 até 500000,1 - Norte,Sim,Setor subordinado a outra secretaria,Sim,Não,Não,Não,Não,Não,Feminino,30,Parda,Sim,Ensino superior completo,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,-,-,-,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2407,2002,Inativo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1502152,PA,15,Canaã dos Carajás,77079,5 - 50001 até 100000,1 - Norte,Sim,Secretaria exclusiva,-,-,-,-,-,-,Feminino,29,Parda,Sim,Ensino superior incompleto,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,-,-,-,Não,Não,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Sim,283,2023,Ativo,Paritário,Sim,Não,Sim,Sim,2,20,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Ao órgão gestor de política para mulheres,Representante do governo,Sim,1,"Sim, de todas",Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,-,Sim,1,Sim,1,Não,-,Não,-,Não,-,Sim,Sim,506
1502202,PA,15,Capanema,70394,5 - 50001 até 100000,1 - Norte,Sim,Setor subordinado a outra secretaria,Sim,Não,Não,Não,Não,Não,Feminino,60,Branca,Não,Especialização,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,-,-,-,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Sim,6410,2018,Ativo,Paritário,Sim,Sim,Não,Sim,6,20,Não,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Ao órgão gestor da assistência social,Há revezamento entre governo e sociedade civil,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,1,Não,-,Não,-,Não,-,Não,-,Sim,Não,-
1502301,PA,15,Capitão Poço,56506,5 - 50001 até 100000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1502400,PA,15,Castanhal,192256,6 - 100001 até 500000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,26,2008,Ativo,Paritário,Não,Sim,Sim,Sim,12,20,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Ao órgão gestor da assistência social,Há revezamento entre governo e sociedade civil,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1502509,PA,15,Chaves,20757,4 - 20001 até 50000,1 - Norte,Sim,Setor subordinado a outra secretaria,Sim,Não,Não,Não,Sim,Sim,Feminino,35,Parda,Sim,Especialização,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não,-,-,-,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,1,Sim,1,Sim,1,Não,-,Não,-,Sim,Não,-
1502608,PA,15,Colares,12868,3 - 10001 até 20000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,53,2011,Ativo,Paritário,Sim,Sim,Sim,Sim,12,24,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Ao órgão gestor da assistência social,Há revezamento entre governo e sociedade civil,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,2,Sim,4,Não,-,Não,-,Não,-,Não,-,-
1502707,PA,15,Conceição do Araguaia,44617,4 - 20001 até 50000,1 - Norte,Sim,Setor subordinado a outra secretaria,Sim,Não,Não,Não,Não,Não,Feminino,46,Parda,Não,Ensino superior completo,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,-,-,-,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,941,2006,Inativo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,1,Sim,1,Não,-,Não,-,Não,-,Sim,Não,-
1502756,PA,15,Concórdia do Pará,26881,4 - 20001 até 50000,1 - Norte,Sim,Setor subordinado diretamente à chefia do Executivo,-,-,-,-,-,-,Feminino,49,Parda,Sim,Especialização,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Não,-,-,-,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,261,2007,Ativo,Tem maior representação da sociedade civil,Não,Sim,Não,Não,5,20,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,A outro órgão,Representante do governo,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1502764,PA,15,Cumaru do Norte,14036,3 - 10001 até 20000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,1,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1502772,PA,15,Curionópolis,19950,3 - 10001 até 20000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1502806,PA,15,Curralinho,33903,4 - 20001 até 50000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,897,2022,"Foi criado, mas não foi instalado",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,1,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1502855,PA,15,Curuá,14117,3 - 10001 até 20000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,1,Sim,1,Não,-,Não,-,Não,-,Sim,Não,-
1502905,PA,15,Curuçá,41262,4 - 20001 até 50000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1502939,PA,15,Dom Eliseu,58484,5 - 50001 até 100000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1502954,PA,15,Eldorado do Carajás,28192,4 - 20001 até 50000,1 - Norte,Sim,Setor subordinado a outra secretaria,Sim,Não,Não,Não,Não,Não,Feminino,36,Branca,Sim,Ensino superior completo,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,-,-,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,489,2022,"Foi criado, mas não foi instalado",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,1,Sim,4,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1503002,PA,15,Faro,8728,2 - 5001 até 10000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,1,Sim,1,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1503044,PA,15,Floresta do Araguaia,17898,3 - 10001 até 20000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,1,"Sim, de todas",-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1503077,PA,15,Garrafão do Norte,24703,4 - 20001 até 50000,1 - Norte,Sim,Setor subordinado a outra secretaria,Sim,Não,Não,Não,Não,Não,Feminino,59,Parda,Sim,Especialização,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,-,-,-,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,479,2022,Ativo,Paritário,Não,Sim,Não,Não,12,5,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,Ao órgão gestor da assistência social,Representante do governo,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1503093,PA,15,Goianésia do Pará,26362,4 - 20001 até 50000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1503101,PA,15,Gurupá,31786,4 - 20001 até 50000,1 - Norte,Sim,Setor subordinado a outra secretaria,Sim,Não,Não,Não,Não,Não,Feminino,40,Parda,Sim,Especialização,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,-,-,-,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,1231,2017,Ativo,Paritário,Não,Sim,Não,Não,12,22,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Ao órgão gestor da assistência social,Representante do governo,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,1,Não,-,Não,-,Não,-,Não,-,Sim,Não,-
1503200,PA,15,Igarapé-Açu,35797,4 - 20001 até 50000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1503309,PA,15,Igarapé-Miri,64831,5 - 50001 até 100000,1 - Norte,Sim,Setor subordinado a outra secretaria,Sim,Não,Não,Não,Não,Sim,Feminino,50,Branca,Sim,Ensino médio (2º Grau) completo,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,-,-,-,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,5055,2012,Inativo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1503408,PA,15,Inhangapi,10325,3 - 10001 até 20000,1 - Norte,Sim,Setor subordinado a outra secretaria,Sim,Não,Não,Não,Não,Não,Feminino,42,Parda,Sim,Especialização,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,-,-,-,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,1,Sim,1,Sim,1,Não,-,Não,-,Sim,Não,-
1503457,PA,15,Ipixuna do Pará,30329,4 - 20001 até 50000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,1,Sim,1,Não,-,Não,-,Não,-,Não,-,-
1503507,PA,15,Irituia,30955,4 - 20001 até 50000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,284,2006,Ativo,Paritário,Não,Sim,Não,Não,2,8,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Ao órgão gestor da assistência social,Representante do governo,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1503606,PA,15,Itaituba,123314,6 - 100001 até 500000,1 - Norte,Sim,Setor subordinado a outra secretaria,Sim,Não,Não,Não,Não,Não,Feminino,49,Branca,Sim,Ensino superior completo,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Não,Sim,2017,Outro,2024,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,1967,2009,Ativo,Paritário,Não,Sim,Não,Sim,6,20,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Ao órgão gestor da assistência social,Há revezamento entre governo e sociedade civil,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,1,Não,-,Não,-,Não,-,Não,-,Sim,Sim,40
1503705,PA,15,Itupiranga,49754,4 - 20001 até 50000,1 - Norte,Sim,Setor subordinado a outra secretaria,Sim,Não,Não,Não,Não,Não,Feminino,49,Preta,Sim,Ensino superior completo,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,-,-,-,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Sim,27,2021,Ativo,Paritário,Sim,Sim,Sim,Sim,5,10,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Não,A outro órgão,Há revezamento entre governo e sociedade civil,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,1,Sim,1,Não,-,Não,-,Não,-,Não,-,-
1503754,PA,15,Jacareacanga,24042,4 - 20001 até 50000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1503804,PA,15,Jacundá,37707,4 - 20001 até 50000,1 - Norte,Sim,Secretaria exclusiva,-,-,-,-,-,-,Feminino,37,Parda,Sim,Ensino superior completo,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,2007,Decreto,2023,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,2404,2006,Ativo,Paritário,Sim,Não,Sim,Sim,5,16,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Não,Sim,Ao órgão gestor de política para mulheres,Há revezamento entre governo e sociedade civil,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,1,Não,-,Não,-,Não,-,Não,-,Sim,Sim,604
1503903,PA,15,Juruti,50881,5 - 50001 até 100000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,921,2005,Ativo,Paritário,Sim,Sim,Não,Não,3,23,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Não,A outro órgão,Representante da sociedade civil,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1504000,PA,15,Limoeiro do Ajuru,29569,4 - 20001 até 50000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1504059,PA,15,Mãe do Rio,34353,4 - 20001 até 50000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1504109,PA,15,Magalhães Barata,8115,2 - 5001 até 10000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1504208,PA,15,Marabá,266533,6 - 100001 até 500000,1 - Norte,Sim,Setor subordinado a outra secretaria,Sim,Não,Não,Não,Não,Não,Feminino,61,Branca,Não,Especialização,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,2021,Lei,Sem preríodo de vigência,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,17294,2008,Ativo,Paritário,Não,Sim,Não,Não,22,44,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Ao órgão gestor da assistência social,Representante do governo,Sim,1,"Sim, de todas",Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,-,Sim,1,Não,-,Sim,1,Não,-,Sim,1,Sim,Não,-
1504307,PA,15,Maracanã,25971,4 - 20001 até 50000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1504406,PA,15,Marapanim,26573,4 - 20001 até 50000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1504422,PA,15,Marituba,111785,6 - 100001 até 500000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,335,2016,Ativo,Paritário,Não,Sim,Não,Não,5,20,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Ao órgão gestor da assistência social,Representante do governo,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1504455,PA,15,Medicilândia,27094,4 - 20001 até 50000,1 - Norte,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
1504505,PA,15,Melgaço,27881,4 - 20001 até 50000,1 - Norte,Sim,Secretaria exclusiva,-,-,-,-,-,-,Feminino,43,Parda,Sim,Ensino superior incompleto,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Sim,2011,Sem previsão normativa,2024,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,548,2006,Ativo,Paritário,Sim,Não,Não,Sim,0,16,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,Ao órgão gestor de política para mulheres,Representante do governo,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,4,Não,-,Não,-,Não,-,Não existem Centros de Referência/Especializados ou Núcleos Integrados de Atendimento às Mulheres em Situação de Violência,-,-
