municipality_code,municipality,method,transport_scenario,macro_weight_scheme,score,rank,positive_flow,negative_flow,net_flow
1504950,Nova Esperança do Piriá,additive,equal_modes__equal_roles,equal_dimensions,0.5145643497916226,65,,,
1505205,Oeiras do Pará,additive,equal_modes__equal_roles,equal_dimensions,0.5111423088695816,67,,,
1505064,Novo Repartimento,additive,equal_modes__equal_roles,equal_dimensions,0.5142644392644392,66,,,
1504406,Marapanim,additive,equal_modes__equal_roles,equal_dimensions,0.5073868051140779,68,,,
1508308,Viseu,additive,equal_modes__equal_roles,equal_dimensions,0.5189985056558091,63,,,
1503044,Floresta do Araguaia,additive,equal_modes__equal_roles,equal_dimensions,0.5044730522003249,69,,,
1506104,Primavera,additive,equal_modes__equal_roles,equal_dimensions,0.4966765557674648,71,,,
1506187,Rondon do Pará,additive,equal_modes__equal_roles,equal_dimensions,0.4923647900920628,72,,,
1502855,Curuá,additive,equal_modes__equal_roles,equal_dimensions,0.4895678353160477,73,,,
1500958,Aurora do Pará,additive,equal_modes__equal_roles,equal_dimensions,0.4993910087755848,70,,,
1504307,Maracanã,additive,equal_modes__equal_roles,equal_dimensions,0.4845035435944527,75,,,
1504505,Melgaço,additive,equal_modes__equal_roles,equal_dimensions,0.4769445621718349,77,,,
1506708,Santana do Araguaia,additive,equal_modes__equal_roles,equal_dimensions,0.4858776702622463,74,,,
1502905,Curuçá,additive,equal_modes__equal_roles,equal_dimensions,0.4781068258340985,76,,,
1504059,Mãe do Rio,additive,equal_modes__equal_roles,equal_dimensions,0.4764362741635469,78,,,
1504604,Mocajuba,additive,equal_modes__equal_roles,equal_dimensions,0.4751412728685455,79,,,
1500503,Almeirim,additive,equal_modes__equal_roles,equal_dimensions,0.4694432671705398,80,,,
1504703,Moju,additive,equal_modes__equal_roles,equal_dimensions,0.4691992308565342,81,,,
1500206,Acará,additive,equal_modes__equal_roles,equal_dimensions,0.4627622377622378,83,,,
1507409,São Francisco do Pará,additive,equal_modes__equal_roles,equal_dimensions,0.4634862612135339,82,,,
1506203,Salinópolis,additive,equal_modes__equal_roles,equal_dimensions,0.4617380094652822,84,,,
1508209,Vigia,additive,equal_modes__equal_roles,equal_dimensions,0.4599897577170304,85,,,
1507953,Tailândia,additive,equal_modes__equal_roles,equal_dimensions,0.4567522544795272,86,,,
1501907,Bujaru,additive,equal_modes__equal_roles,equal_dimensions,0.4505762755762755,87,,,
1508357,Vitória do Xingu,additive,equal_modes__equal_roles,equal_dimensions,0.449022274022274,89,,,
1505486,Pacajá,additive,equal_modes__equal_roles,equal_dimensions,0.4484909828755589,90,,,
1503903,Juruti,additive,equal_modes__equal_roles,equal_dimensions,0.4473254817100578,91,,,
1501782,Breu Branco,additive,equal_modes__equal_roles,equal_dimensions,0.4491647241647242,88,,,
1502954,Eldorado do Carajás,additive,equal_modes__equal_roles,equal_dimensions,0.4196375173647901,95,,,
1507979,Terra Santa,additive,equal_modes__equal_roles,equal_dimensions,0.4373654964564055,92,,,
1506005,Prainha,additive,equal_modes__equal_roles,equal_dimensions,0.4278737256009983,93,,,
1504422,Marituba,additive,equal_modes__equal_roles,equal_dimensions,0.4275382025382025,94,,,
1501105,Bagre,additive,equal_modes__equal_roles,equal_dimensions,0.4018312495585222,100,,,
1502301,Capitão Poço,additive,equal_modes__equal_roles,equal_dimensions,0.4134097384097384,96,,,
1508084,Tucumã,additive,equal_modes__equal_roles,equal_dimensions,0.4115319865319865,97,,,
1508035,Tracuateua,additive,equal_modes__equal_roles,equal_dimensions,0.4031910009182736,99,,,
1502004,Cachoeira do Arari,additive,equal_modes__equal_roles,equal_dimensions,0.4045242636151727,98,,,
1500305,Afuá,additive,equal_modes__equal_roles,equal_dimensions,0.3912769890042618,104,,,
1503101,Gurupá,additive,equal_modes__equal_roles,equal_dimensions,0.3903704880977607,105,,,
