municipality_code,municipality,institutional_deficit,service_component_health_deficit,service_component_social_protection_deficit,service_component_justice_deficit,service_component_specialized_protection_network_deficit,service_network_deficit,mean_priority_score,mean_priority_rank,best_priority_rank,worst_priority_rank,priority_rank_range,top_10_frequency,top_quartile_frequency,bottom_quartile_frequency,priority_stability_profile
1504802,Monte Alegre,1.0,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.6345624072896802,33.541666666666664,12,58,46,0.0,0.6041666666666666,0.0,scenario_sensitive_higher_priority
1501725,Brasil Novo,1.0,0.0,0.0,0.0,1.0,0.25,0.6307303807303809,33.583333333333336,12,59,47,0.0,0.625,0.0,scenario_sensitive_higher_priority
1507466,São João da Ponta,0.5916666666666667,0.5,0.0,1.0,1.0,0.625,0.6166407666407667,35.666666666666664,23,51,28,0.0,0.5833333333333334,0.0,scenario_sensitive_higher_priority
1503309,Igarapé-Miri,0.5916666666666667,0.2231404958677686,0.0,1.0,1.0,0.5557851239669421,0.615325163052436,36.208333333333336,23,50,27,0.0,0.6458333333333334,0.0,scenario_sensitive_higher_priority
1506195,Rurópolis,1.0,0.2231404958677686,0.0,1.0,0.6320224719101124,0.46379074194447023,0.6236463830309592,36.5,22,62,40,0.0,0.5625,0.0,scenario_sensitive_higher_priority
1503408,Inhangapi,0.5916666666666667,0.4256198347107438,1.0,1.0,1.0,0.856404958677686,0.6184066774975866,36.583333333333336,10,59,49,0.020833333333333332,0.3958333333333333,0.0,scenario_sensitive_higher_priority
1501576,Bom Jesus do Tocantins,0.5916666666666667,0.2231404958677686,0.0,1.0,1.0,0.5557851239669421,0.6116991594264322,37.020833333333336,17,54,37,0.0,0.4791666666666667,0.0,scenario_sensitive_higher_priority
1508159,Uruará,0.8083333333333333,0.0,0.0,0.0,1.0,0.25,0.6072455322455322,38.625,14,63,49,0.0,0.4166666666666667,0.0,scenario_sensitive_higher_priority
1502772,Curionópolis,0.8083333333333333,0.2231404958677686,0.0,1.0,1.0,0.5557851239669421,0.6050558027830756,39.895833333333336,27,69,42,0.0,0.4166666666666667,0.0,scenario_sensitive_higher_priority
1503002,Faro,0.5916666666666667,0.4256198347107438,0.0,0.0,1.0,0.35640495867768596,0.5984636575545665,40.5,13,58,45,0.0,0.2708333333333333,0.0,scenario_sensitive_higher_priority
1502608,Colares,1.0,0.5,1.0,0.0,1.0,0.625,0.6132802382802381,40.9375,25,78,53,0.0,0.625,0.0,scenario_sensitive_higher_priority
1507151,São Domingos do Araguaia,0.8083333333333333,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.6001995479268206,41.166666666666664,25,58,33,0.0,0.2708333333333333,0.0,scenario_sensitive_higher_priority
1501758,Brejo Grande do Araguaia,0.5916666666666667,0.4256198347107438,0.0,1.0,1.0,0.606404958677686,0.6017659108568202,41.1875,27,60,33,0.0,0.375,0.0,scenario_sensitive_higher_priority
1504455,Medicilândia,0.5916666666666667,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.5915618892891621,42.375,15,56,41,0.0,0.25,0.0,scenario_sensitive_higher_priority
1505809,Portel,1.0,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.6007628734901462,42.916666666666664,26,68,42,0.0,0.3958333333333333,0.0,scenario_sensitive_higher_priority
1500909,Augusto Corrêa,0.5916666666666667,0.2231404958677686,0.0,1.0,1.0,0.5557851239669421,0.590461138188411,43.895833333333336,23,57,34,0.0,0.20833333333333334,0.0,intermediate_or_scenario_sensitive
1505007,Nova Timboteua,1.0,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.5967483694756422,44.291666666666664,24,72,48,0.0,0.3333333333333333,0.0,scenario_sensitive_higher_priority
1507458,São Geraldo do Araguaia,0.8083333333333333,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.5864725341998068,44.875,31,58,27,0.0,0.08333333333333333,0.0,intermediate_or_scenario_sensitive
1505494,Palestina do Pará,0.35833333333333334,0.9022865013774105,1.0,1.0,1.0,0.9755716253443526,0.5835886251795341,45.770833333333336,11,74,63,0.0,0.25,0.0,scenario_sensitive_higher_priority
1500701,Anajás,0.5916666666666667,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.5598991076263804,51.979166666666664,22,73,51,0.0,0.14583333333333334,0.0,intermediate_or_scenario_sensitive
1507508,São João do Araguaia,1.0,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.5679993407266135,52.333333333333336,32,82,50,0.0,0.16666666666666666,0.0,intermediate_or_scenario_sensitive
1505650,Placas,0.5916666666666667,0.2231404958677686,0.0,1.0,1.0,0.5557851239669421,0.5573091050363778,52.4375,39,76,37,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1501600,Bonito,1.0,0.4256198347107438,0.0,0.0,0.6320224719101124,0.26441057665521406,0.560553331301544,53.9375,28,82,54,0.0,0.16666666666666666,0.0,intermediate_or_scenario_sensitive
1500131,Abel Figueiredo,0.10833333333333335,0.4256198347107438,1.0,1.0,1.0,0.856404958677686,0.5493701584610676,54.625,20,97,77,0.0,0.3125,0.0,scenario_sensitive_higher_priority
1503093,Goianésia do Pará,0.5916666666666667,0.2231404958677686,0.0,1.0,1.0,0.5557851239669421,0.5500570977843705,55.041666666666664,42,85,43,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1500347,Água Azul do Norte,0.35833333333333334,0.2231404958677686,0.0,1.0,1.0,0.5557851239669421,0.5441518918791646,55.9375,36,83,47,0.0,0.020833333333333332,0.0,intermediate_or_scenario_sensitive
1506609,Santa Maria do Pará,0.8083333333333333,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.5478814956087682,56.354166666666664,40,81,41,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1508126,Ulianópolis,0.5916666666666667,0.2231404958677686,0.0,1.0,1.0,0.5557851239669421,0.5347760825033554,59.416666666666664,43,94,51,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1505304,Oriximiná,0.5916666666666667,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.5291428268700995,60.875,26,84,58,0.0,0.10416666666666667,0.0,intermediate_or_scenario_sensitive
1506351,Santa Bárbara do Pará,0.8083333333333333,0.2231404958677686,0.0,1.0,1.0,0.5557851239669421,0.5344782322055049,61.625,42,101,59,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1507755,Sapucaia,0.35833333333333334,0.4256198347107438,1.0,1.0,1.0,0.856404958677686,0.5314343905252997,61.625,23,91,68,0.0,0.20833333333333334,0.0,intermediate_or_scenario_sensitive
1503754,Jacareacanga,0.5916666666666667,0.4256198347107438,0.0,0.0,1.0,0.35640495867768596,0.5246485837394929,62.020833333333336,29,86,57,0.0,0.020833333333333332,0.0,intermediate_or_scenario_sensitive
1504109,Magalhães Barata,0.5916666666666667,0.5,0.0,0.0,1.0,0.375,0.5186739186739187,63.333333333333336,45,77,32,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1504950,Nova Esperança do Piriá,0.2291666666666667,0.2231404958677686,0.0,1.0,1.0,0.5557851239669421,0.5145643497916225,63.916666666666664,37,93,56,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1505205,Oeiras do Pará,0.5916666666666667,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.5111423088695818,65.5625,43,81,38,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1505064,Novo Repartimento,0.8083333333333333,0.0,0.0,0.0,1.0,0.25,0.5142644392644392,66.27083333333333,46,90,44,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1504406,Marapanim,0.5916666666666667,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.5073868051140777,66.45833333333333,44,82,38,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1508308,Viseu,1.0,0.0,0.0,0.0,0.6320224719101124,0.1580056179775281,0.518998505655809,66.91666666666667,37,96,59,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1503044,Floresta do Araguaia,0.5916666666666667,0.2231404958677686,0.0,1.0,1.0,0.5557851239669421,0.504473052200325,69.0,49,100,51,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1506104,Primavera,0.5916666666666667,0.4256198347107438,0.0,0.0,1.0,0.35640495867768596,0.496676555767465,70.0625,53,91,38,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1506187,Rondon do Pará,0.5916666666666667,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.49236479009206285,72.0625,58,89,31,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1502855,Curuá,0.35833333333333334,0.4256198347107438,0.0,1.0,0.6320224719101124,0.5144105766552141,0.4895678353160478,72.58333333333333,52,92,40,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1500958,Aurora do Pará,1.0,0.2231404958677686,0.0,0.0,0.6320224719101124,0.21379074194447026,0.49939100877558484,73.625,40,106,66,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1504307,Maracanã,0.5916666666666667,0.4256198347107438,0.0,0.0,1.0,0.35640495867768596,0.48450354359445275,74.64583333333333,57,102,45,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1504505,Melgaço,0.2291666666666667,0.2231404958677686,0.0,1.0,1.0,0.5557851239669421,0.47694456217183495,75.35416666666667,46,99,53,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1506708,Santana do Araguaia,0.8083333333333333,0.2231404958677686,0.0,0.0,0.6320224719101124,0.21379074194447026,0.4858776702622465,76.1875,55,101,46,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1502905,Curuçá,0.35833333333333334,0.2231404958677686,0.0,1.0,1.0,0.5557851239669421,0.4781068258340985,76.41666666666667,51,98,47,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1504059,Mãe do Rio,0.5916666666666667,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.47643627416354706,77.8125,56,99,43,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1504604,Mocajuba,0.5916666666666667,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.4751412728685456,78.54166666666667,58,90,32,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1500503,Almeirim,0.5916666666666667,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.4694432671705398,80.25,47,108,61,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1504703,Moju,0.5916666666666667,0.0,0.0,1.0,0.6320224719101124,0.4080056179775281,0.46919923085653426,80.66666666666667,67,105,38,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1500206,Acará,0.5916666666666667,0.0,0.0,0.0,1.0,0.25,0.46276223776223785,82.85416666666667,60,98,38,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1507409,São Francisco do Pará,0.5916666666666667,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.4634862612135339,83.1875,59,112,53,0.0,0.0,0.020833333333333332,intermediate_or_scenario_sensitive
1506203,Salinópolis,0.5916666666666667,0.2231404958677686,0.0,1.0,1.0,0.5557851239669421,0.46173800946528215,83.85416666666667,59,118,59,0.0,0.0,0.16666666666666666,intermediate_or_scenario_sensitive
1508209,Vigia,0.5916666666666667,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.4599897577170304,84.83333333333333,62,111,49,0.0,0.0,0.020833333333333332,intermediate_or_scenario_sensitive
1507953,Tailândia,0.5916666666666667,0.2231404958677686,0.0,0.0,1.0,0.30578512396694213,0.45675225447952733,85.375,72,106,34,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1501907,Bujaru,0.35833333333333334,0.0,0.0,1.0,1.0,0.5,0.45057627557627566,85.41666666666667,65,101,36,0.0,0.0,0.0,intermediate_or_scenario_sensitive
1508357,Vitória do Xingu,0.35833333333333334,0.0,0.0,1.0,1.0,0.5,0.4490222740222742,86.04166666666667,66,115,49,0.0,0.0,0.0625,intermediate_or_scenario_sensitive
1505486,Pacajá,0.5916666666666667,0.2231404958677686,0.0,0.0,0.6320224719101124,0.21379074194447026,0.44849098287555905,87.875,70,109,39,0.0,0.0,0.041666666666666664,intermediate_or_scenario_sensitive
