municipality_code,municipality,mean_rank,rank_standard_deviation,rank_1_acceptability,top_10_acceptability,top_quartile_acceptability
1506401,Santa Cruz do Arari,1.04755,0.21281211784106638,0.95245,1.0,1.0
1501253,Bannach,2.8318833333333333,1.8322036239791208,0.04755,0.9831583333333334,1.0
1508050,Trairão,3.542333333333333,1.2289119397074617,0.0,0.9978999999999999,1.0
1507961,Terra Alta,3.5481999999999996,1.5340284960412787,0.0,0.9922083333333334,1.0
1504752,Mojuí dos Campos,6.628275,3.1190776720650923,0.0,0.8732916666666666,1.0
1505551,Pau DArco,7.321483333333333,3.198251887055733,0.0,0.8420166666666667,1.0000000000000002
1506112,Quatipuru,9.207816666666666,2.599156061696868,0.0,0.7072916666666667,1.0
1501006,Aveiro,10.218133333333334,3.715010253313198,0.0,0.6256916666666665,1.0
1501956,Cachoeira do Piriá,12.226099999999999,3.223201636571939,0.0,0.3651,1.0
1505106,Óbidos,13.139391666666667,6.524758868846973,0.0,0.39517500000000005,0.9984166666666667
1500859,Anapu,13.677775,5.563311008986313,0.0,0.30233333333333334,0.9999000000000001
1503200,Igarapé-Açu,14.345783333333333,4.861296180346923,0.0,0.266625,1.0
1504901,Muaná,13.82425,5.607243405111524,0.0,0.30655,1.0
1502764,Cumaru do Norte,14.931716666666668,6.716702121308406,0.0,0.28350833333333336,0.992
1506583,Santa Maria das Barreiras,13.27749166666667,6.749332562675896,0.0,0.4284916666666667,0.98595
1507805,Senador José Porfírio,14.094658333333333,8.513618392508787,0.0,0.4506416666666667,0.9934916666666666
1507474,São João de Pirabas,17.187475,5.1320702246794765,0.0,0.05859166666666667,0.9993333333333334
1506906,Santarém Novo,19.680616666666666,5.8233619401844585,0.0,0.0,0.9865333333333334
1502806,Curralinho,20.264725,7.117807176912594,0.0,0.046125,0.9721083333333334
1501451,Belterra,23.145274999999998,5.105162763423102,0.0,0.0,0.971975
1507102,São Caetano de Odivelas,23.304316666666665,7.356300567068725,0.0,0.0,0.9454166666666667
1508001,Tomé-Açu,23.506741666666667,6.1716735615172205,0.0,0.0,0.9528083333333334
1505601,Peixe-Boi,25.40473333333333,5.287009954806439,0.0,0.0,0.9970083333333334
1505437,Ourilândia do Norte,26.168141666666664,8.427110223158596,0.0,6.666666666666667e-05,0.85335
1505403,Ourém,25.956050000000005,6.688723226259228,0.0,0.0,0.939275
1500404,Alenquer,27.913625000000003,9.914940629812573,0.0,0.019058333333333333,0.7781666666666667
1507003,Santo Antônio do Tauá,27.94585,7.584132631850536,0.0,0.0,0.8677750000000001
1504000,Limoeiro do Ajuru,30.356133333333332,8.389079352480959,0.0,0.0,0.729925
1505031,Novo Progresso,29.284541666666666,9.222007791505993,0.0,0.009641666666666666,0.7720416666666666
1505635,Piçarra,30.879933333333334,11.995108752969081,0.0,0.046316666666666666,0.6509833333333334
1504802,Monte Alegre,32.46035833333333,9.810544252907896,0.0,0.0,0.6687916666666667
1501725,Brasil Novo,32.71219166666667,8.502389352211353,0.0,0.0,0.6818000000000001
