municipality_code,municipality,mean_priority_score,mean_priority_rank,top_quartile_frequency,priority_stability_profile,female_population_2022,selected_vaw_records_2022_2025,mean_annual_selected_vaw_rate_per_100k_women,rate_2022,rate_2023,rate_2024,rate_2025,rate_linear_slope_per_year,rate_cv,years_at_or_above_state_median,contextual_pattern
1505437,Ourilândia do Norte,0.6550234277507007,27.25,0.7291666666666666,scenario_sensitive_higher_priority,15925,187,293.563579277865,251.1773940345369,383.04552590266877,345.3689167974882,194.66248037676607,-20.722135007849296,0.2541654468089015,1,other_priority_lower_observed_rate
1505403,Ourém,0.6561509155354917,27.8125,0.8541666666666666,robust_higher_capacity_strengthening_priority,8808,102,289.50953678474116,283.8328792007266,215.71298819255225,283.8328792007266,374.6594005449591,34.05994550408719,0.19509557590325877,1,higher_priority_lower_observed_rate
1500404,Alenquer,0.6493254220526947,29.125,0.6458333333333334,scenario_sensitive_higher_priority,33688,260,192.94704345761102,124.67347423414867,163.26288292567085,231.53645214913323,252.31536452149135,45.119924008549035,0.26624720461348894,0,other_priority_lower_observed_rate
1507003,Santo Antônio do Tauá,0.650555673282946,30,0.8125,robust_higher_capacity_strengthening_priority,13701,266,485.3660316765199,408.72928983285885,562.002773520181,437.92423910663456,532.8078242464054,24.81570688270932,0.13131014433513524,4,higher_priority_higher_observed_rate
1504000,Limoeiro do Ajuru,0.6350474441383533,30.5,0.6458333333333334,scenario_sensitive_higher_priority,14278,149,260.89088107578095,147.07942288835972,308.1664098613251,287.15506373441656,301.1626278190223,44.12382686650792,0.253527876074149,0,other_priority_lower_observed_rate
1505031,Novo Progresso,0.6456228956228957,30.729166666666668,0.6666666666666666,scenario_sensitive_higher_priority,16151,401,620.7046003343446,606.7735743916785,575.8157389635317,674.8808123336016,625.3482756485666,15.478917714073441,0.057896193347849886,4,other_priority_higher_observed_rate
1505635,Piçarra,0.6376678792587882,32.875,0.4583333333333333,scenario_sensitive_higher_priority,6098,74,303.3781567727124,278.7799278451951,377.172843555264,229.58346999016072,327.97638570022957,5.684341886080802e-15,0.18130280898646944,1,other_priority_lower_observed_rate
1504802,Monte Alegre,0.6345624072896802,33.541666666666664,0.6041666666666666,scenario_sensitive_higher_priority,29661,383,322.81447017969725,259.6001483429419,316.91446680826675,259.6001483429419,455.14311722463844,52.93145881797648,0.24751903140809692,1,other_priority_lower_observed_rate
1501725,Brasil Novo,0.6307303807303809,33.583333333333336,0.625,scenario_sensitive_higher_priority,12083,207,428.2876769014317,281.3870727468344,529.6697839940412,372.42406687081024,529.6697839940412,58.760241661838926,0.2483580470343372,3,other_priority_higher_observed_rate
1507466,São João da Ponta,0.6166407666407667,35.666666666666664,0.5833333333333334,scenario_sensitive_higher_priority,2143,25,291.6472235184321,279.98133457769484,233.31777881474568,466.63555762949136,186.65422305179655,-4.666355576294921,0.3644173431657719,1,other_priority_lower_observed_rate
1503309,Igarapé-Miri,0.615325163052436,36.208333333333336,0.6458333333333334,scenario_sensitive_higher_priority,31557,348,275.6916056659378,247.17178439015117,294.7048198497956,291.5359508191526,269.3538676046519,6.337738061285916,0.06944279295169292,0,other_priority_lower_observed_rate
1506195,Rurópolis,0.6236463830309592,36.5,0.5625,scenario_sensitive_higher_priority,17398,207,297.4479825267272,195.42476146683526,298.88492930221867,287.3893550982871,408.09288423956775,62.650879411426594,0.2535656709567287,1,other_priority_lower_observed_rate
1503408,Inhangapi,0.6184066774975866,36.583333333333336,0.3958333333333333,scenario_sensitive_higher_priority,5096,87,426.8053375196232,588.6970172684458,333.59497645211934,392.4646781789639,392.4646781789639,-52.98273155416014,0.22611856980351727,3,other_priority_higher_observed_rate
1501576,Bom Jesus do Tocantins,0.6116991594264322,37.020833333333336,0.4791666666666667,scenario_sensitive_higher_priority,8036,141,438.6510701841712,535.0920856147337,497.7600796416127,410.6520657043305,311.10004977600795,-75.90841214534596,0.19692827484985564,3,other_priority_higher_observed_rate
1508159,Uruará,0.6072455322455322,38.625,0.4166666666666667,scenario_sensitive_higher_priority,20746,324,390.43671069121757,313.31340981394004,385.6165043863877,414.53774221536685,448.2791863491757,43.38185674346861,0.12740597185524868,3,other_priority_higher_observed_rate
1502772,Curionópolis,0.6050558027830756,39.895833333333336,0.4166666666666667,scenario_sensitive_higher_priority,9754,156,399.8359647324175,297.31392249333607,512.6102111954069,389.58376050850933,399.8359647324175,18.45396760303467,0.19102133879168373,3,other_priority_higher_observed_rate
1503002,Faro,0.5984636575545665,40.5,0.2708333333333333,scenario_sensitive_higher_priority,4245,143,842.1672555948173,871.6136631330978,706.7137809187279,1036.5135453474675,753.8280329799765,-2.3557126030624547,0.15112015933548462,4,other_priority_higher_observed_rate
1502608,Colares,0.6132802382802381,40.9375,0.625,scenario_sensitive_higher_priority,6422,81,315.32232949237,389.2868265337901,311.4294612270321,249.1435689816257,311.4294612270321,-29.58579881656803,0.15761907820745308,1,other_priority_lower_observed_rate
1507151,São Domingos do Araguaia,0.6001995479268206,41.166666666666664,0.2708333333333333,scenario_sensitive_higher_priority,10376,147,354.1827293754819,404.7802621434078,289.12875867386276,356.5921356977641,366.22976098689287,-4.818812644564349,0.11763004398496989,2,other_priority_higher_observed_rate
1501758,Brejo Grande do Araguaia,0.6017659108568202,41.1875,0.375,scenario_sensitive_higher_priority,3344,62,463.51674641148327,448.5645933014354,269.1387559808613,508.37320574162675,627.9904306220095,77.75119617224877,0.27936303347885116,3,other_priority_higher_observed_rate
