dimension_1,dimension_2,spearman_correlation,reference_transport_scenario,municipalities
institutional_deficit,service_network_deficit,0.36533112897766756,equal_modes__equal_roles,144
institutional_deficit,transport_barrier_reference,0.02208717491291706,equal_modes__equal_roles,144
service_network_deficit,transport_barrier_reference,0.11985312401874285,equal_modes__equal_roles,144
