municipality_code,municipality,method,mean_score,mean_rank,best_rank,worst_rank,top_10_frequency,top_quartile_frequency
1501501,Benevides,promethee_ii,0.2957784400983836,117.75,93,132,0.0,0.0
1501501,Benevides,topsis,0.38329909970051673,101.97916666666667,58,134,0.0,0.0
1501576,Bom Jesus do Tocantins,additive,0.6116991594264322,37.020833333333336,17,54,0.0,0.4791666666666667
1501576,Bom Jesus do Tocantins,promethee_ii,0.7569656383206453,21.5,5,39,0.08333333333333333,0.9583333333333334
1501576,Bom Jesus do Tocantins,topsis,0.6068382527081013,30.833333333333332,5,52,0.08333333333333333,0.75
1501600,Bonito,additive,0.5605533313015437,53.9375,28,82,0.0,0.16666666666666666
1501600,Bonito,promethee_ii,0.4659618814070263,85.41666666666667,41,119,0.0,0.0
1501600,Bonito,topsis,0.4889450909740117,67.97916666666667,32,109,0.0,0.0625
1501709,Bragança,additive,0.27542818708549044,127.72916666666667,107,137,0.0,0.0
1501709,Bragança,promethee_ii,0.3273106526853598,113.875,80,133,0.0,0.0
1501709,Bragança,topsis,0.29957681312805534,121.45833333333333,83,136,0.0,0.0
1501725,Brasil Novo,additive,0.6307303807303807,33.583333333333336,12,59,0.0,0.625
1501725,Brasil Novo,promethee_ii,0.6431074990870144,45.5625,19,82,0.0,0.4166666666666667
1501725,Brasil Novo,topsis,0.5375383642287641,49.833333333333336,28,80,0.0,0.3541666666666667
1501758,Brejo Grande do Araguaia,additive,0.60176591085682,41.1875,27,60,0.0,0.375
1501758,Brejo Grande do Araguaia,promethee_ii,0.7400477154126786,25.708333333333332,8,53,0.041666666666666664,0.8125
1501758,Brejo Grande do Araguaia,topsis,0.6079082771836585,30.708333333333332,11,54,0.0,0.6666666666666666
1501782,Breu Branco,additive,0.44916472416472414,88.39583333333333,66,106,0.0,0.0
1501782,Breu Branco,promethee_ii,0.3898939052776953,101.95833333333333,74,118,0.0,0.0
1501782,Breu Branco,topsis,0.4089394505481651,97.47916666666667,71,115,0.0,0.0
1501808,Breves,additive,0.20631433173568003,134.79166666666666,118,139,0.0,0.0
1501808,Breves,promethee_ii,0.22258810132846948,126.1875,91,137,0.0,0.0
1501808,Breves,topsis,0.236235043405425,129.25,86,139,0.0,0.0
1501907,Bujaru,additive,0.4505762755762756,85.41666666666667,65,101,0.0,0.0
1501907,Bujaru,promethee_ii,0.4722043211905173,83.52083333333333,56,111,0.0,0.0
1501907,Bujaru,topsis,0.4564450289852689,76.60416666666667,52,103,0.0,0.0
1501956,Cachoeira do Piriá,additive,0.7159532386805115,12.9375,7,24,0.2708333333333333,1.0
1501956,Cachoeira do Piriá,promethee_ii,0.8147366609724025,13.208333333333334,5,43,0.4166666666666667,0.9583333333333334
1501956,Cachoeira do Piriá,topsis,0.6647858801326137,16.083333333333332,7,32,0.2708333333333333,1.0
1502004,Cachoeira do Arari,additive,0.4045242636151727,99.70833333333333,86,114,0.0,0.0
1502004,Cachoeira do Arari,promethee_ii,0.4560633972116957,86.75,56,111,0.0,0.0
1502004,Cachoeira do Arari,topsis,0.3878215149780289,96.47916666666667,69,117,0.0,0.0
1502103,Cametá,additive,0.12345978511708845,142.625,141,144,0.0,0.0
1502103,Cametá,promethee_ii,0.01800110600980313,142.72916666666666,141,144,0.0,0.0
1502103,Cametá,topsis,0.11153855073223885,142.625,140,144,0.0,0.0
1502152,Canaã dos Carajás,additive,0.22907891346348952,132.58333333333334,124,138,0.0,0.0
1502152,Canaã dos Carajás,promethee_ii,0.23425291546958737,125.4375,92,136,0.0,0.0
1502152,Canaã dos Carajás,topsis,0.24734795995838868,129.02083333333334,107,138,0.0,0.0
1502202,Capanema,additive,0.10610676776407112,143.22916666666666,138,144,0.0,0.0
1502202,Capanema,promethee_ii,0.008289920989690058,143.10416666666666,138,144,0.0,0.0
1502202,Capanema,topsis,0.08522354182988139,143.1875,138,144,0.0,0.0
1502301,Capitão Poço,additive,0.4134097384097384,96.39583333333333,74,118,0.0,0.0
1502301,Capitão Poço,promethee_ii,0.387091432969811,103.1875,76,126,0.0,0.0
1502301,Capitão Poço,topsis,0.42274569403075263,87.79166666666667,53,123,0.0,0.0
1502400,Castanhal,additive,0.30941549607279945,120.85416666666667,97,134,0.0,0.0
1502400,Castanhal,promethee_ii,0.20167849187836065,129.5625,116,138,0.0,0.0
1502400,Castanhal,topsis,0.2851014865628167,122.14583333333333,92,139,0.0,0.0
1502509,Chaves,additive,0.34210520119611026,115.64583333333333,85,126,0.0,0.0
1502509,Chaves,promethee_ii,0.42219812357043707,93.91666666666667,47,123,0.0,0.0
1502509,Chaves,topsis,0.35159209630395555,105.16666666666667,55,126,0.0,0.0
1502608,Colares,additive,0.6132802382802383,40.9375,25,78,0.0,0.625
1502608,Colares,promethee_ii,0.6224104711917223,50.520833333333336,27,90,0.0,0.4375
1502608,Colares,topsis,0.5822963390858554,42.645833333333336,18,103,0.0,0.7083333333333334
1502707,Conceição do Araguaia,additive,0.3806579783852511,104.64583333333333,78,119,0.0,0.0
1502707,Conceição do Araguaia,promethee_ii,0.4383262791799795,90.77083333333333,58,116,0.0,0.0
1502707,Conceição do Araguaia,topsis,0.4215521469091444,85.0,47,117,0.0,0.0
1502756,Concórdia do Pará,additive,0.36941089213816486,107.95833333333333,82,127,0.0,0.0
1502756,Concórdia do Pará,promethee_ii,0.46808332310117384,84.60416666666667,51,121,0.0,0.0
1502756,Concórdia do Pará,topsis,0.42484176432769605,84.54166666666667,50,120,0.0,0.0
1502764,Cumaru do Norte,additive,0.701578724305997,15.958333333333334,6,43,0.25,0.9583333333333334
1502764,Cumaru do Norte,promethee_ii,0.7928716120581355,16.916666666666668,4,59,0.4583333333333333,0.9375
1502764,Cumaru do Norte,topsis,0.651284711272838,20.083333333333332,8,60,0.16666666666666666,0.9375
1502772,Curionópolis,additive,0.6050558027830756,39.895833333333336,27,69,0.0,0.4166666666666667
1502772,Curionópolis,promethee_ii,0.6333081041457865,46.645833333333336,24,80,0.0,0.25
1502772,Curionópolis,topsis,0.5889382201526052,37.895833333333336,25,87,0.0,0.6875
1502806,Curralinho,additive,0.6804054531327259,21.833333333333332,6,44,0.16666666666666666,0.875
1502806,Curralinho,promethee_ii,0.7591789596068557,21.625,6,48,0.10416666666666667,0.7708333333333334
1502806,Curralinho,topsis,0.5817797998690996,36.083333333333336,10,63,0.020833333333333332,0.6041666666666666
1502855,Curuá,additive,0.4895678353160478,72.58333333333333,52,92,0.0,0.0
1502855,Curuá,promethee_ii,0.5831659551949748,57.0,35,83,0.0,0.020833333333333332
1502855,Curuá,topsis,0.4946907830124927,63.833333333333336,35,93,0.0,0.020833333333333332
1502905,Curuçá,additive,0.4781068258340986,76.41666666666667,51,98,0.0,0.0
1502905,Curuçá,promethee_ii,0.5408121375502811,66.91666666666667,36,101,0.0,0.020833333333333332
1502905,Curuçá,topsis,0.49151149695936497,65.5625,35,98,0.0,0.020833333333333332
1502939,Dom Eliseu,additive,0.3865384615384615,104.58333333333333,88,117,0.0,0.0
1502939,Dom Eliseu,promethee_ii,0.36863774010439115,105.91666666666667,67,122,0.0,0.0
1502939,Dom Eliseu,topsis,0.35708370304488396,107.8125,77,124,0.0,0.0
1502954,Eldorado do Carajás,additive,0.4196375173647901,91.77083333333333,65,116,0.0,0.0
1502954,Eldorado do Carajás,promethee_ii,0.5406623798335072,67.0,34,112,0.0,0.020833333333333332
1502954,Eldorado do Carajás,topsis,0.45453111742389973,73.0625,42,111,0.0,0.0
1503002,Faro,additive,0.5984636575545667,40.5,13,58,0.0,0.2708333333333333
1503002,Faro,promethee_ii,0.7283637543417386,27.208333333333332,10,40,0.041666666666666664,0.7708333333333334
1503002,Faro,topsis,0.5474458925907605,44.229166666666664,8,62,0.08333333333333333,0.25
1503044,Floresta do Araguaia,additive,0.5044730522003249,69.0,49,100,0.0,0.0
1503044,Floresta do Araguaia,promethee_ii,0.4993180952675114,76.5,48,113,0.0,0.0
1503044,Floresta do Araguaia,topsis,0.5098852026360398,62.416666666666664,38,107,0.0,0.0
1503077,Garrafão do Norte,additive,0.37489846012573286,107.04166666666667,81,123,0.0,0.0
1503077,Garrafão do Norte,promethee_ii,0.4261279101648329,94.5,54,122,0.0,0.0
1503077,Garrafão do Norte,topsis,0.36149999933499344,104.5625,62,124,0.0,0.0
1503093,Goianésia do Pará,additive,0.5500570977843705,55.041666666666664,42,85,0.0,0.0
1503093,Goianésia do Pará,promethee_ii,0.6158353054287695,50.3125,21,85,0.0,0.16666666666666666
1503093,Goianésia do Pará,topsis,0.5512041994014436,48.104166666666664,31,90,0.0,0.22916666666666666
1503101,Gurupá,additive,0.3903704880977608,100.70833333333333,64,121,0.0,0.0
1503101,Gurupá,promethee_ii,0.48205546029102125,80.66666666666667,41,111,0.0,0.0
1503101,Gurupá,topsis,0.3923587288301618,91.41666666666667,38,121,0.0,0.0
1503200,Igarapé-Açu,additive,0.7036507263779992,15.145833333333334,8,33,0.25,1.0
1503200,Igarapé-Açu,promethee_ii,0.7857800552165085,17.625,5,56,0.3125,0.9375
1503200,Igarapé-Açu,topsis,0.6530518431962348,19.1875,9,54,0.14583333333333334,0.9375
1503309,Igarapé-Miri,additive,0.6153251630524358,36.208333333333336,23,50,0.0,0.6458333333333334
1503309,Igarapé-Miri,promethee_ii,0.7624221964975716,20.3125,7,34,0.041666666666666664,1.0
1503309,Igarapé-Miri,topsis,0.6103018960906803,29.395833333333332,8,51,0.0625,0.75
1503408,Inhangapi,additive,0.6184066774975866,36.583333333333336,10,59,0.020833333333333332,0.3958333333333333
1503408,Inhangapi,promethee_ii,0.5868125843130209,57.229166666666664,23,100,0.0,0.125
1503408,Inhangapi,topsis,0.6453491382159519,28.354166666666668,7,60,0.2916666666666667,0.5625
1503457,Ipixuna do Pará,additive,0.3477649454922182,115.22916666666667,103,129,0.0,0.0
1503457,Ipixuna do Pará,promethee_ii,0.28599539151545145,121.08333333333333,106,133,0.0,0.0
1503457,Ipixuna do Pará,topsis,0.32506935261419173,116.0,103,134,0.0,0.0
1503507,Irituia,additive,0.36944444444444446,110.39583333333333,95,120,0.0,0.0
1503507,Irituia,promethee_ii,0.30911213168719365,118.10416666666667,93,127,0.0,0.0
1503507,Irituia,topsis,0.33951430542828137,113.47916666666667,84,124,0.0,0.0
1503606,Itaituba,additive,0.14735703331208946,140.35416666666666,136,144,0.0,0.0
1503606,Itaituba,promethee_ii,0.07797437967165141,138.66666666666666,129,144,0.0,0.0
1503606,Itaituba,topsis,0.15902854695609728,138.75,130,144,0.0,0.0
1503705,Itupiranga,additive,0.357027442254715,113.0625,93,120,0.0,0.0
1503705,Itupiranga,promethee_ii,0.37418285404255786,106.29166666666667,72,122,0.0,0.0
1503705,Itupiranga,topsis,0.3434207625657706,111.20833333333333,78,123,0.0,0.0
1503754,Jacareacanga,additive,0.5246485837394929,62.020833333333336,29,86,0.0,0.020833333333333332
1503754,Jacareacanga,promethee_ii,0.6296178866637357,47.833333333333336,19,83,0.0,0.22916666666666666
1503754,Jacareacanga,topsis,0.4913604746446744,62.770833333333336,25,93,0.0,0.10416666666666667
1503804,Jacundá,additive,0.37580496103223376,106.875,84,114,0.0,0.0
