municipality_code,municipality,road_federal_km,road_state_km,road_paved_km,road_unpaved_km,road_total_km,road_structured_presence,road_federal_presence,road_state_presence,municipality_area_km2,road_density_km_per_1000_km2,distance_to_structured_road_km
1503044,Floresta do Araguaia,0.0,0.0,0.0,0.0,0.0,0,0,0,3454.461231,0.0,43.049292
1503077,Garrafão do Norte,0.0,48.075762,0.0,48.075762,48.075762,1,0,1,1619.819667,29.6797,9.688129
1503093,Goianésia do Pará,0.0,172.274062,113.16659,59.107472,172.274062,1,0,1,7050.756187,24.433416,34.702235
1503101,Gurupá,0.0,0.0,0.0,0.0,0.0,0,0,0,8577.555709,0.0,118.837654
1503200,Igarapé-Açu,4.172426,57.347216,12.384297,49.135346,61.519642,1,1,1,790.971539,77.777315,5.146799
1503309,Igarapé-Miri,0.0,99.272574,99.272574,0.0,99.272574,1,0,1,2004.046293,49.536068,5.696216
1503408,Inhangapi,0.0,7.511485,7.511485,0.0,7.511485,1,0,1,475.274903,15.804506,14.272121
1503457,Ipixuna do Pará,62.544777,47.615749,86.579757,23.580769,110.160526,1,1,1,5245.16337,21.002306,0.098927
1503507,Irituia,25.386612,39.731618,25.386612,39.731618,65.118231,1,1,1,1394.454029,46.698012,4.954741
1503606,Itaituba,495.423506,0.0,39.499054,455.924453,495.423506,1,1,0,62104.184538,7.977297,30.94131
1503705,Itupiranga,29.261724,0.0,0.0,29.261724,29.261724,1,1,0,7900.907737,3.70359,46.368375
1503754,Jacareacanga,157.488409,0.0,0.0,157.488409,157.488409,1,1,0,53394.634298,2.949518,134.786341
1503804,Jacundá,0.0,20.088724,11.797083,8.291641,20.088724,1,0,1,2015.417074,9.967527,19.118898
1503903,Juruti,0.0,0.0,0.0,0.0,0.0,0,0,0,8311.732261,0.0,107.86877
1504000,Limoeiro do Ajuru,20.199411,0.0,20.199411,0.0,20.199411,1,1,0,1494.041575,13.519979,7.528734
1504059,Mãe do Rio,29.189627,3.283342,29.189627,3.283342,32.472969,1,1,1,472.365959,68.745362,2.017933
1504109,Magalhães Barata,0.0,28.945862,11.096911,17.848951,28.945862,1,0,1,325.995591,88.792189,4.544836
1504208,Marabá,67.224503,0.0,67.224503,0.0,67.224503,1,1,0,15165.358183,4.432767,83.062213
1504307,Maracanã,0.0,100.431104,3.419685,97.011419,100.431104,1,0,1,812.863697,123.552207,3.841871
1504406,Marapanim,0.0,69.927564,26.587878,43.339686,69.927564,1,0,1,809.506667,86.382938,5.723742
1504422,Marituba,7.72836,15.099739,22.828099,0.0,22.828099,1,1,1,103.72397,220.08509,1.788542
1504455,Medicilândia,67.769983,0.0,0.0,67.769983,67.769983,1,1,0,8273.569694,8.191142,38.72762
1504505,Melgaço,0.0,0.0,0.0,0.0,0.0,0,0,0,6781.654655,0.0,53.826673
1504604,Mocajuba,0.0,14.917144,14.917144,0.0,14.917144,1,0,1,873.912083,17.069388,5.819645
1504703,Moju,0.0,129.338261,129.338261,0.0,129.338261,1,0,1,9127.967806,14.169448,26.660097
1504752,Mojuí dos Campos,0.0,102.812012,102.812012,0.0,102.812012,1,0,1,4988.506317,20.609779,13.184497
1504802,Monte Alegre,0.0,122.959853,122.959853,0.0,122.959853,1,0,1,18151.843563,6.773959,61.517658
1504901,Muaná,0.0,0.0,0.0,0.0,0.0,0,0,0,3776.063284,0.0,54.725678
1504950,Nova Esperança do Piriá,0.0,0.0,0.0,0.0,0.0,0,0,0,2829.915517,0.0,43.248754
1504976,Nova Ipixuna,0.0,0.0,0.0,0.0,0.0,0,0,0,1569.599026,0.0,27.768495
1505007,Nova Timboteua,9.702617,67.841205,41.52542,36.018401,77.543822,1,1,1,493.129747,157.248315,2.394965
1505031,Novo Progresso,274.417415,0.0,14.286085,260.131331,274.417415,1,1,0,38177.323409,7.187969,45.772082
1505064,Novo Repartimento,163.335484,0.0,80.582714,82.752771,163.335484,1,1,0,15431.711652,10.584405,30.949802
1505106,Óbidos,0.0,127.557868,127.557868,0.0,127.557868,1,0,1,28022.583976,4.551967,118.628804
1505205,Oeiras do Pará,67.162831,76.583292,143.746123,0.0,143.746123,1,1,1,3862.186272,37.218848,1.140548
1505304,Oriximiná,178.851061,31.498189,210.349251,0.0,210.349251,1,1,1,107788.123887,1.951507,71.51056
1505403,Ourém,0.0,22.658344,0.0,22.658344,22.658344,1,0,1,565.766173,40.048955,0.804876
1505437,Ourilândia do Norte,0.0,26.978195,26.978195,0.0,26.978195,1,0,1,14425.230574,1.870209,78.587677
1505486,Pacajá,125.688946,0.0,125.688946,0.0,125.688946,1,1,0,11853.103182,10.603885,15.147755
1505494,Palestina do Pará,0.0,0.0,0.0,0.0,0.0,0,0,0,989.124689,0.0,28.665468
1505502,Paragominas,75.049914,136.336503,104.984879,106.401538,211.386417,1,1,1,19464.631781,10.860026,8.383773
1505536,Parauapebas,0.0,0.0,0.0,0.0,0.0,0,0,0,6898.825799,0.0,56.398675
1505551,Pau D'Arco,22.376608,0.0,22.376608,0.0,22.376608,1,1,0,1675.204874,13.357535,9.791997
1505601,Peixe-Boi,17.084545,19.463645,18.003467,18.544723,36.54819,1,1,1,453.346317,80.618698,6.17412
1505635,Piçarra,1.493769,78.251471,1.493769,78.251471,79.74524,1,1,1,3325.209281,23.982021,11.06678
1505650,Placas,110.332591,0.0,26.858053,83.474538,110.332591,1,1,0,7173.516337,15.380545,2.306304
1505700,Ponta de Pedras,0.0,0.0,0.0,0.0,0.0,0,0,0,3376.278468,0.0,15.925263
1505809,Portel,0.0,79.426311,55.957235,23.469075,79.426311,1,0,1,25423.014097,3.124189,65.722259
1505908,Porto de Moz,0.0,0.0,0.0,0.0,0.0,0,0,0,17428.233137,0.0,87.492857
1506005,Prainha,0.0,76.032894,76.032894,0.0,76.032894,1,0,1,14788.616389,5.141312,14.366606
1506104,Primavera,0.0,28.02418,27.951339,0.072841,28.02418,1,0,1,261.206018,107.28765,2.766232
1506112,Quatipuru,0.0,20.177606,12.522248,7.655358,20.177606,1,0,1,304.848663,66.188927,1.527507
1506138,Redenção,65.402784,70.721792,87.350967,48.773609,136.124576,1,1,1,3832.136984,35.521845,1.310054
1506161,Rio Maria,55.275489,28.49089,83.766379,0.0,83.766379,1,1,1,4125.198207,20.306025,7.549854
1506187,Rondon do Pará,0.0,0.0,0.0,0.0,0.0,0,0,0,8285.139909,0.0,68.694527
1506195,Rurópolis,162.058715,0.0,47.645503,114.413211,162.058715,1,1,0,7022.972749,23.075515,4.402769
1506203,Salinópolis,0.0,21.561541,14.119771,7.44177,21.561541,1,0,1,227.651395,94.712975,3.811131
1506302,Salvaterra,0.0,27.625835,24.696361,2.929474,27.625835,1,0,1,922.597299,29.943546,4.615418
1506351,Santa Bárbara do Pará,0.0,30.025735,30.025735,0.0,30.025735,1,0,1,279.562371,107.402634,0.136515
1506401,Santa Cruz do Arari,0.0,0.0,0.0,0.0,0.0,0,0,0,1080.269767,0.0,65.279014
1506500,Santa Izabel do Pará,22.875853,41.21094,64.086793,0.0,64.086793,1,1,1,721.450346,88.830498,1.294283
