municipality_code,municipality,road_federal_km,road_state_km,road_other_km,road_paved_km,road_unpaved_km,road_total_km,road_mapped_presence,road_federal_presence,road_state_presence,municipality_area_km2,road_density_km_per_1000_km2,distance_to_mapped_road_km,port_count,port_presence,distance_to_port_km,decea_airport_count,decea_airport_presence,distance_to_decea_airport_km,passenger_crossing_km,passenger_crossing_presence,distance_to_passenger_crossing_km,navigated_waterway_km,navigated_waterway_presence,distance_to_navigated_waterway_km
1501956,Cachoeira do Piriá,33.742736,13.704607,271.078866,33.742736,199.054033,318.526209,1,1,1,2440.760981,130.502828,2.069963,1,1,25.762499,0,0,52.450758,0.154342,1,25.780051,0.0,0,126.181931
1502004,Cachoeira do Arari,0.0,41.641468,87.351735,0.0,98.806371,128.993203,1,0,1,3112.779313,41.43988,10.233349,0,0,21.888952,1,1,20.747602,0.0,0,317.067959,32.85296,1,23.035476
1502103,Cametá,58.620268,40.236457,273.318401,317.339692,7.113985,372.175127,1,1,1,3091.713858,120.378257,0.896651,5,1,3.915779,1,1,26.139757,0.0,0,260.131507,62.010216,1,10.910093
1502152,Canaã dos Carajás,0.0,0.0,406.557085,274.399719,2.188509,406.557085,1,0,0,3154.123025,128.897028,4.132436,0,0,133.07938,1,1,35.291203,0.0,0,110.086107,0.0,0,156.459625
1502202,Capanema,28.485432,37.284013,187.483963,52.062699,161.915089,253.253408,1,1,1,625.985326,404.567643,0.094377,0,0,27.530275,1,1,9.329743,0.0,0,110.563042,0.0,0,63.13717
1502301,Capitão Poço,0.0,64.250816,696.706124,0.0,575.723655,760.95694,1,0,1,2921.373891,260.479134,0.719097,0,0,54.709215,1,1,26.496153,0.0,0,93.860835,0.0,0,54.769269
1502400,Castanhal,22.206955,83.253902,429.530985,102.099209,298.393072,534.991842,1,1,1,1035.215696,516.79263,0.946913,0,0,24.724743,1,1,1.931531,0.0,0,199.460709,0.0,0,24.332928
1502509,Chaves,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,12568.526377,0.0,146.497634,2,1,23.478286,2,1,34.938277,0.0,0,312.906055,67.674417,1,21.20129
1502608,Colares,0.0,11.958545,52.751917,43.948077,6.752898,64.710462,1,0,1,385.992798,167.646811,0.295385,1,1,6.598911,1,1,9.417342,0.0,0,235.418249,5.081184,1,16.477118
1502707,Conceição do Araguaia,0.0,113.339722,570.287066,98.349873,435.573783,683.626788,1,0,1,5847.143766,116.916364,3.428328,1,1,32.37286,3,1,30.668054,0.0,0,66.963538,0.0,0,319.942096
1502756,Concórdia do Pará,0.0,38.397874,235.427212,42.274383,132.664906,273.825086,1,0,1,704.510204,388.674408,1.474435,0,0,24.991472,0,0,30.945591,0.0,0,176.178083,0.0,0,21.916064
1502764,Cumaru do Norte,0.0,110.4659,884.863813,234.150628,538.970429,995.329713,1,0,1,17105.02505,58.189316,4.18092,0,0,174.535977,14,1,8.935407,0.0,0,169.915515,0.0,0,425.487094
1502772,Curionópolis,0.0,0.0,586.036042,282.975012,106.742584,586.036042,1,0,0,2375.923903,246.656065,3.902734,0,0,117.499678,1,1,16.246009,0.0,0,93.267611,0.0,0,114.399094
1502806,Curralinho,0.0,0.0,1.416969,1.416969,0.0,1.416969,1,0,0,3626.306337,0.390747,38.789458,1,1,38.32045,0,0,45.200925,0.0,0,252.314704,22.399133,1,24.020606
1502855,Curuá,0.0,13.727496,61.091459,69.266395,0.0,74.818955,1,0,1,1431.57822,52.263267,1.198235,1,1,12.485796,0,0,43.111601,0.0,0,292.448665,8.33649,1,41.904408
