municipality_code,municipality,port_count,port_presence,distance_to_port_km,decea_airport_count,decea_airport_presence,distance_to_decea_airport_km,passenger_crossing_km,passenger_crossing_presence,distance_to_passenger_crossing_km,navigated_waterway_km,navigated_waterway_presence,distance_to_navigated_waterway_km
1503754,Jacareacanga,2,1,140.144981,8,1,17.739064,0.0,0,396.53092,0.0,0,378.619478
1503804,Jacundá,0,0,61.447372,0,0,41.661156,0.0,0,115.581386,5.911576,1,23.95704
1503903,Juruti,9,1,48.097514,1,1,51.976541,0.0,0,182.475006,77.07237,1,34.486026
1504000,Limoeiro do Ajuru,1,1,12.842,0,0,64.747154,0.0,0,280.771196,45.615317,1,15.091287
1504059,Mãe do Rio,0,0,26.984219,0,0,32.161935,0.0,0,122.750798,0.0,0,33.941036
1504109,Magalhães Barata,0,0,29.160123,0,0,36.559136,0.0,0,172.840721,0.0,0,71.011883
1504208,Marabá,3,1,81.517492,5,1,20.593763,0.0,0,152.950802,25.853462,1,79.150116
1504307,Maracanã,0,0,16.679358,0,0,20.033843,0.0,0,156.442931,0.0,0,86.22266
1504406,Marapanim,0,0,17.599093,0,0,48.032515,0.0,0,185.888248,0.0,0,58.296276
1504422,Marituba,0,0,7.890976,0,0,9.247753,0.0,0,230.064465,4.921451,1,6.993055
1504455,Medicilândia,0,0,111.613418,0,0,87.450373,0.0,0,168.587052,0.0,0,135.617727
1504505,Melgaço,0,0,49.954019,1,1,55.745666,0.0,0,180.113883,97.986927,1,34.909808
1504604,Mocajuba,0,0,30.243597,0,0,10.740691,0.0,0,267.972326,27.373337,1,13.311088
1504703,Moju,14,1,8.442254,5,1,33.816432,0.0,0,293.856242,144.826538,1,8.722416
1504752,Mojuí dos Campos,0,0,71.172278,0,0,59.808686,0.0,0,208.527764,0.0,0,68.462391
1504802,Monte Alegre,3,1,111.914174,2,1,64.363657,0.0,0,195.320455,60.667489,1,113.531037
1504901,Muaná,1,1,27.534143,0,0,59.441122,0.0,0,329.625149,72.313932,1,27.534106
1504950,Nova Esperança do Piriá,0,0,43.67362,0,0,75.469576,0.0,0,43.66254,0.0,0,114.759311
1504976,Nova Ipixuna,0,0,18.99706,0,0,31.550067,0.0,0,83.322467,8.177533,1,13.737767
1505007,Nova Timboteua,0,0,26.20391,0,0,23.867792,0.0,0,141.544517,0.0,0,50.903751
1505031,Novo Progresso,0,0,238.709633,12,1,36.599953,0.0,0,401.942193,0.0,0,393.264122
1505064,Novo Repartimento,0,0,100.944163,3,1,40.245305,0.0,0,205.716966,60.982458,1,73.403372
1505106,Óbidos,1,1,183.221756,4,1,45.295109,0.0,0,373.004857,98.797138,1,179.331713
1505205,Oeiras do Pará,1,1,50.007675,0,0,63.925057,0.0,0,213.36914,36.935202,1,40.066688
1505304,Oriximiná,8,1,229.82161,9,1,156.796905,0.0,0,531.634669,107.867618,1,230.019064
1505403,Ourém,0,0,22.881053,0,0,19.696077,0.0,0,113.047909,0.0,0,42.770523
1505437,Ourilândia do Norte,0,0,104.332393,5,1,25.758599,0.0,0,235.215498,0.0,0,346.647125
1505486,Pacajá,0,0,105.495403,1,1,15.66316,0.0,0,137.539377,0.0,0,104.534446
1505494,Palestina do Pará,0,0,38.488619,1,1,28.716321,0.430503,1,23.713142,0.0,0,107.532452
1505502,Paragominas,1,1,49.457491,9,1,4.479288,0.0,0,145.027919,0.0,0,149.970282
1505536,Parauapebas,0,0,170.248147,2,1,48.317439,0.0,0,163.28186,0.0,0,165.737074
1505551,Pau D'Arco,0,0,86.634346,0,0,24.588067,0.0,0,86.225033,0.0,0,283.742164
1505601,Peixe-Boi,0,0,26.614426,0,0,13.634637,0.0,0,126.892753,0.0,0,60.220879
1505635,Piçarra,0,0,52.987325,1,1,6.774691,0.505493,1,35.980718,0.0,0,134.923464
1505650,Placas,0,0,103.721391,1,1,22.391527,0.0,0,173.985445,0.0,0,105.079552
1505700,Ponta de Pedras,2,1,15.558086,1,1,23.60923,0.0,0,318.5715,46.800395,1,13.630503
1505809,Portel,3,1,67.477543,6,1,26.353867,0.0,0,95.747988,9.644467,1,81.244383
1505908,Porto de Moz,1,1,60.136422,3,1,22.698718,0.0,0,145.111794,158.905776,1,42.661535
1506005,Prainha,2,1,12.634637,3,1,15.517287,0.0,0,155.258919,90.912765,1,11.067721
1506104,Primavera,0,0,10.021761,0,0,33.016925,0.0,0,117.144889,0.0,0,85.382229
1506112,Quatipuru,2,1,4.483321,0,0,39.739074,0.0,0,105.729697,0.0,0,100.225332
1506138,Redenção,0,0,105.638817,5,1,13.270875,0.0,0,108.916229,0.0,0,321.219671
1506161,Rio Maria,0,0,80.952674,6,1,5.44133,0.0,0,80.944338,0.0,0,246.963152
1506187,Rondon do Pará,0,0,105.256243,3,1,46.777758,0.0,0,92.436993,0.0,0,106.770405
1506195,Rurópolis,2,1,44.642378,1,1,8.019795,0.0,0,71.997674,0.0,0,39.390548
1506203,Salinópolis,1,1,10.411567,1,1,1.915844,0.0,0,146.366827,0.0,0,94.697481
1506302,Salvaterra,2,1,13.155077,0,0,16.788975,0.0,0,279.429936,3.764303,1,14.167505
1506351,Santa Bárbara do Pará,2,1,8.099039,2,1,4.014972,0.0,0,232.246071,0.0,0,27.785407
1506401,Santa Cruz do Arari,0,0,64.559794,0,0,58.82796,0.0,0,359.526833,0.0,0,65.197084
1506500,Santa Izabel do Pará,0,0,15.825292,1,1,18.116541,0.0,0,212.276025,19.954392,1,15.427857
1506559,Santa Luzia do Pará,0,0,58.562971,1,1,14.629314,0.0,0,77.203002,0.0,0,66.140882
1506583,Santa Maria das Barreiras,1,1,78.717973,15,1,6.836121,0.558762,1,78.61454,0.0,0,389.450531
1506609,Santa Maria do Pará,0,0,26.798015,0,0,39.801442,0.0,0,156.090155,0.0,0,26.584795
1506708,Santana do Araguaia,0,0,63.384629,20,1,12.104128,7.415189,1,54.675811,0.0,0,460.479047
1506807,Santarém,30,1,83.780634,4,1,61.077755,0.0,0,184.60863,246.4649,1,47.210767
1506906,Santarém Novo,1,1,6.797677,0,0,22.771752,0.0,0,139.067923,0.0,0,81.545454
1507003,Santo Antônio do Tauá,1,1,9.189195,0,0,11.152736,0.0,0,223.677416,0.0,0,35.449223
1507102,São Caetano de Odivelas,0,0,25.228216,0,0,30.48066,0.0,0,215.649881,0.0,0,32.462847
1507151,São Domingos do Araguaia,0,0,36.796229,0,0,33.509559,0.0,0,33.516619,0.0,0,59.318562
1507201,São Domingos do Capim,1,1,10.511963,0,0,41.941519,0.0,0,151.699088,48.844712,1,11.194417
1507300,São Félix do Xingu,1,1,104.881397,24,1,21.882916,0.0,0,334.003268,0.0,0,429.156939
1507409,São Francisco do Pará,0,0,42.182685,0,0,23.435116,0.0,0,179.625898,0.0,0,40.926504
1507458,São Geraldo do Araguaia,0,0,35.994143,0,0,37.242645,0.813761,1,34.247218,0.0,0,100.872161
1507466,São João da Ponta,0,0,20.552091,0,0,38.335308,0.0,0,206.923431,0.0,0,40.627074
1507474,São João de Pirabas,0,0,22.008871,0,0,15.447313,0.0,0,130.190507,0.0,0,99.381556
1507508,São João do Araguaia,1,1,15.395972,1,1,26.784499,0.463582,1,11.977509,0.0,0,53.041215
1507607,São Miguel do Guamá,5,1,16.417459,0,0,48.658342,0.0,0,153.485253,6.487582,1,6.999078
1507706,São Sebastião da Boa Vista,1,1,32.747338,0,0,88.192166,0.0,0,299.030943,22.248924,1,35.228747
1507755,Sapucaia,0,0,76.002872,4,1,13.052632,0.0,0,50.55806,0.0,0,170.075139
1507805,Senador José Porfírio,3,1,134.454012,1,1,66.981844,0.0,0,131.983631,70.084818,1,127.830605
1507904,Soure,3,1,35.859648,2,1,21.9424,0.0,0,299.932664,2.415533,1,36.214875
1507953,Tailândia,0,0,49.993565,6,1,17.5161,0.0,0,268.361626,0.0,0,50.281149
1507961,Terra Alta,0,0,32.244097,0,0,31.860505,0.0,0,192.224367,0.0,0,56.144479
1507979,Terra Santa,4,1,19.124955,2,1,17.924996,0.0,0,268.026898,37.505654,1,26.376168
1508001,Tomé-Açu,0,0,57.846486,4,1,22.000683,0.0,0,208.425407,0.0,0,55.624988
